#Application: JXR BSC 1.8.1.1
#Release Date: 20210916
#Modbus Model: C2C Model
[2023-06-15 00:00:02.678] Heartbeat: 1
[2023-06-15 00:00:05.678] Heartbeat: 0
[2023-06-15 00:00:08.678] Heartbeat: 1
[2023-06-15 00:00:11.678] Heartbeat: 0
[2023-06-15 00:00:14.678] Heartbeat: 1
[2023-06-15 00:00:17.678] Heartbeat: 0
[2023-06-15 00:00:20.679] Heartbeat: 1
[2023-06-15 00:00:23.679] Heartbeat: 0
[2023-06-15 00:00:26.679] Heartbeat: 1
[2023-06-15 00:00:29.679] Heartbeat: 0
[2023-06-15 00:00:32.679] Heartbeat: 1
[2023-06-15 00:00:35.679] Heartbeat: 0
[2023-06-15 00:00:38.679] Heartbeat: 1
[2023-06-15 00:00:41.680] Heartbeat: 0
[2023-06-15 00:00:44.680] Heartbeat: 1
[2023-06-15 00:00:47.679] Heartbeat: 0
[2023-06-15 00:00:50.679] Heartbeat: 1
[2023-06-15 00:00:53.679] Heartbeat: 0
[2023-06-15 00:00:56.679] Heartbeat: 1
[2023-06-15 00:00:59.680] Heartbeat: 0
[2023-06-15 00:01:02.680] Heartbeat: 1
[2023-06-15 00:01:05.680] Heartbeat: 0
[2023-06-15 00:01:08.680] Heartbeat: 1
[2023-06-15 00:01:11.680] Heartbeat: 0
[2023-06-15 00:01:14.679] Heartbeat: 1
[2023-06-15 00:01:17.680] Heartbeat: 0
[2023-06-15 00:01:20.680] Heartbeat: 1
[2023-06-15 00:01:23.681] Heartbeat: 0
[2023-06-15 00:01:26.680] Heartbeat: 1
[2023-06-15 00:01:29.681] Heartbeat: 0
[2023-06-15 00:01:32.681] Heartbeat: 1
[2023-06-15 00:01:35.681] Heartbeat: 0
[2023-06-15 00:01:38.680] Heartbeat: 1
[2023-06-15 00:01:41.681] Heartbeat: 0
[2023-06-15 00:01:44.681] Heartbeat: 1
[2023-06-15 00:01:47.682] Heartbeat: 0
[2023-06-15 00:01:50.681] Heartbeat: 1
[2023-06-15 00:01:53.681] Heartbeat: 0
[2023-06-15 00:01:56.682] Heartbeat: 1
[2023-06-15 00:01:59.682] Heartbeat: 0
[2023-06-15 00:02:02.682] Heartbeat: 1
[2023-06-15 00:02:05.682] Heartbeat: 0
[2023-06-15 00:02:08.682] Heartbeat: 1
[2023-06-15 00:02:11.682] Heartbeat: 0
[2023-06-15 00:02:14.682] Heartbeat: 1
[2023-06-15 00:02:17.682] Heartbeat: 0
[2023-06-15 00:02:20.682] Heartbeat: 1
[2023-06-15 00:02:23.682] Heartbeat: 0
[2023-06-15 00:02:26.682] Heartbeat: 1
[2023-06-15 00:02:29.683] Heartbeat: 0
[2023-06-15 00:02:32.682] Heartbeat: 1
[2023-06-15 00:02:35.683] Heartbeat: 0
[2023-06-15 00:02:38.682] Heartbeat: 1
[2023-06-15 00:02:41.683] Heartbeat: 0
[2023-06-15 00:02:44.683] Heartbeat: 1
[2023-06-15 00:02:47.683] Heartbeat: 0
[2023-06-15 00:02:50.683] Heartbeat: 1
[2023-06-15 00:02:53.683] Heartbeat: 0
[2023-06-15 00:02:56.683] Heartbeat: 1
[2023-06-15 00:02:59.683] Heartbeat: 0
[2023-06-15 00:03:02.684] Heartbeat: 1
[2023-06-15 00:03:05.683] Heartbeat: 0
[2023-06-15 00:03:08.684] Heartbeat: 1
[2023-06-15 00:03:11.684] Heartbeat: 0
[2023-06-15 00:03:14.684] Heartbeat: 1
[2023-06-15 00:03:17.684] Heartbeat: 0
[2023-06-15 00:03:20.684] Heartbeat: 1
[2023-06-15 00:03:23.684] Heartbeat: 0
[2023-06-15 00:03:26.684] Heartbeat: 1
[2023-06-15 00:03:29.685] Heartbeat: 0
[2023-06-15 00:03:32.685] Heartbeat: 1
[2023-06-15 00:03:35.684] Heartbeat: 0
[2023-06-15 00:03:38.684] Heartbeat: 1
[2023-06-15 00:03:41.685] Heartbeat: 0
[2023-06-15 00:03:44.684] Heartbeat: 1
[2023-06-15 00:03:47.684] Heartbeat: 0
[2023-06-15 00:03:50.685] Heartbeat: 1
[2023-06-15 00:03:53.685] Heartbeat: 0
[2023-06-15 00:03:56.685] Heartbeat: 1
[2023-06-15 00:03:59.685] Heartbeat: 0
[2023-06-15 00:04:02.686] Heartbeat: 1
[2023-06-15 00:04:05.687] Heartbeat: 0
[2023-06-15 00:04:08.686] Heartbeat: 1
[2023-06-15 00:04:11.687] Heartbeat: 0
[2023-06-15 00:04:14.687] Heartbeat: 1
[2023-06-15 00:04:17.687] Heartbeat: 0
[2023-06-15 00:04:20.686] Heartbeat: 1
[2023-06-15 00:04:23.687] Heartbeat: 0
[2023-06-15 00:04:26.686] Heartbeat: 1
[2023-06-15 00:04:29.687] Heartbeat: 0
[2023-06-15 00:04:32.687] Heartbeat: 1
[2023-06-15 00:04:35.687] Heartbeat: 0
[2023-06-15 00:04:38.687] Heartbeat: 1
[2023-06-15 00:04:41.687] Heartbeat: 0
[2023-06-15 00:04:44.687] Heartbeat: 1
[2023-06-15 00:04:47.687] Heartbeat: 0
[2023-06-15 00:04:50.688] Heartbeat: 1
[2023-06-15 00:04:53.688] Heartbeat: 0
[2023-06-15 00:04:56.688] Heartbeat: 1
[2023-06-15 00:04:59.687] Heartbeat: 0
[2023-06-15 00:05:02.688] Heartbeat: 1
[2023-06-15 00:05:05.688] Heartbeat: 0
[2023-06-15 00:05:08.688] Heartbeat: 1
[2023-06-15 00:05:11.689] Heartbeat: 0
[2023-06-15 00:05:14.688] Heartbeat: 1
[2023-06-15 00:05:17.688] Heartbeat: 0
[2023-06-15 00:05:20.688] Heartbeat: 1
[2023-06-15 00:05:23.689] Heartbeat: 0
[2023-06-15 00:05:26.689] Heartbeat: 1
[2023-06-15 00:05:29.688] Heartbeat: 0
[2023-06-15 00:05:32.688] Heartbeat: 1
[2023-06-15 00:05:35.688] Heartbeat: 0
[2023-06-15 00:05:38.688] Heartbeat: 1
[2023-06-15 00:05:41.689] Heartbeat: 0
[2023-06-15 00:05:44.689] Heartbeat: 1
[2023-06-15 00:05:47.689] Heartbeat: 0
[2023-06-15 00:05:50.690] Heartbeat: 1
[2023-06-15 00:05:53.690] Heartbeat: 0
[2023-06-15 00:05:56.689] Heartbeat: 1
[2023-06-15 00:05:59.689] Heartbeat: 0
[2023-06-15 00:06:02.690] Heartbeat: 1
[2023-06-15 00:06:05.689] Heartbeat: 0
[2023-06-15 00:06:08.689] Heartbeat: 1
[2023-06-15 00:06:11.689] Heartbeat: 0
[2023-06-15 00:06:14.690] Heartbeat: 1
[2023-06-15 00:06:17.690] Heartbeat: 0
[2023-06-15 00:06:20.690] Heartbeat: 1
[2023-06-15 00:06:23.691] Heartbeat: 0
[2023-06-15 00:06:26.690] Heartbeat: 1
[2023-06-15 00:06:29.690] Heartbeat: 0
[2023-06-15 00:06:32.691] Heartbeat: 1
[2023-06-15 00:06:35.691] Heartbeat: 0
[2023-06-15 00:06:38.691] Heartbeat: 1
[2023-06-15 00:06:41.691] Heartbeat: 0
[2023-06-15 00:06:44.691] Heartbeat: 1
[2023-06-15 00:06:47.691] Heartbeat: 0
[2023-06-15 00:06:50.691] Heartbeat: 1
[2023-06-15 00:06:53.691] Heartbeat: 0
[2023-06-15 00:06:56.691] Heartbeat: 1
[2023-06-15 00:06:59.692] Heartbeat: 0
[2023-06-15 00:07:02.691] Heartbeat: 1
[2023-06-15 00:07:05.691] Heartbeat: 0
[2023-06-15 00:07:08.691] Heartbeat: 1
[2023-06-15 00:07:11.691] Heartbeat: 0
[2023-06-15 00:07:14.691] Heartbeat: 1
[2023-06-15 00:07:17.692] Heartbeat: 0
[2023-06-15 00:07:20.691] Heartbeat: 1
[2023-06-15 00:07:23.691] Heartbeat: 0
[2023-06-15 00:07:26.692] Heartbeat: 1
[2023-06-15 00:07:29.693] Heartbeat: 0
[2023-06-15 00:07:32.692] Heartbeat: 1
[2023-06-15 00:07:35.692] Heartbeat: 0
[2023-06-15 00:07:38.693] Heartbeat: 1
[2023-06-15 00:07:41.692] Heartbeat: 0
[2023-06-15 00:07:44.692] Heartbeat: 1
[2023-06-15 00:07:47.693] Heartbeat: 0
[2023-06-15 00:07:50.693] Heartbeat: 1
[2023-06-15 00:07:53.693] Heartbeat: 0
[2023-06-15 00:07:56.694] Heartbeat: 1
[2023-06-15 00:07:59.693] Heartbeat: 0
[2023-06-15 00:08:02.692] Heartbeat: 1
[2023-06-15 00:08:05.693] Heartbeat: 0
[2023-06-15 00:08:08.693] Heartbeat: 1
[2023-06-15 00:08:11.693] Heartbeat: 0
[2023-06-15 00:08:14.693] Heartbeat: 1
[2023-06-15 00:08:17.694] Heartbeat: 0
[2023-06-15 00:08:20.694] Heartbeat: 1
[2023-06-15 00:08:23.693] Heartbeat: 0
[2023-06-15 00:08:26.694] Heartbeat: 1
[2023-06-15 00:08:29.694] Heartbeat: 0
[2023-06-15 00:08:32.694] Heartbeat: 1
[2023-06-15 00:08:35.694] Heartbeat: 0
[2023-06-15 00:08:38.694] Heartbeat: 1
[2023-06-15 00:08:41.695] Heartbeat: 0
[2023-06-15 00:08:44.695] Heartbeat: 1
[2023-06-15 00:08:47.695] Heartbeat: 0
[2023-06-15 00:08:50.695] Heartbeat: 1
[2023-06-15 00:08:53.695] Heartbeat: 0
[2023-06-15 00:08:56.694] Heartbeat: 1
[2023-06-15 00:08:59.695] Heartbeat: 0
[2023-06-15 00:09:02.694] Heartbeat: 1
[2023-06-15 00:09:05.694] Heartbeat: 0
[2023-06-15 00:09:08.695] Heartbeat: 1
[2023-06-15 00:09:11.695] Heartbeat: 0
[2023-06-15 00:09:14.695] Heartbeat: 1
[2023-06-15 00:09:17.695] Heartbeat: 0
[2023-06-15 00:09:20.695] Heartbeat: 1
[2023-06-15 00:09:23.695] Heartbeat: 0
[2023-06-15 00:09:26.695] Heartbeat: 1
[2023-06-15 00:09:29.696] Heartbeat: 0
[2023-06-15 00:09:32.695] Heartbeat: 1
[2023-06-15 00:09:35.696] Heartbeat: 0
[2023-06-15 00:09:38.696] Heartbeat: 1
[2023-06-15 00:09:41.696] Heartbeat: 0
[2023-06-15 00:09:44.696] Heartbeat: 1
[2023-06-15 00:09:47.696] Heartbeat: 0
[2023-06-15 00:09:50.697] Heartbeat: 1
[2023-06-15 00:09:53.697] Heartbeat: 0
[2023-06-15 00:09:56.696] Heartbeat: 1
[2023-06-15 00:09:59.698] Heartbeat: 0
[2023-06-15 00:10:02.696] Heartbeat: 1
[2023-06-15 00:10:05.697] Heartbeat: 0
[2023-06-15 00:10:08.697] Heartbeat: 1
[2023-06-15 00:10:11.697] Heartbeat: 0
[2023-06-15 00:10:14.697] Heartbeat: 1
[2023-06-15 00:10:17.697] Heartbeat: 0
[2023-06-15 00:10:20.697] Heartbeat: 1
[2023-06-15 00:10:23.698] Heartbeat: 0
[2023-06-15 00:10:26.697] Heartbeat: 1
[2023-06-15 00:10:29.698] Heartbeat: 0
[2023-06-15 00:10:32.698] Heartbeat: 1
[2023-06-15 00:10:35.698] Heartbeat: 0
[2023-06-15 00:10:38.698] Heartbeat: 1
[2023-06-15 00:10:41.698] Heartbeat: 0
[2023-06-15 00:10:44.698] Heartbeat: 1
[2023-06-15 00:10:47.698] Heartbeat: 0
[2023-06-15 00:10:50.698] Heartbeat: 1
[2023-06-15 00:10:53.698] Heartbeat: 0
[2023-06-15 00:10:56.698] Heartbeat: 1
[2023-06-15 00:10:59.698] Heartbeat: 0
[2023-06-15 00:11:02.699] Heartbeat: 1
[2023-06-15 00:11:05.698] Heartbeat: 0
[2023-06-15 00:11:08.699] Heartbeat: 1
[2023-06-15 00:11:11.699] Heartbeat: 0
[2023-06-15 00:11:14.699] Heartbeat: 1
[2023-06-15 00:11:17.699] Heartbeat: 0
[2023-06-15 00:11:20.699] Heartbeat: 1
[2023-06-15 00:11:23.699] Heartbeat: 0
[2023-06-15 00:11:26.699] Heartbeat: 1
[2023-06-15 00:11:29.699] Heartbeat: 0
[2023-06-15 00:11:32.699] Heartbeat: 1
[2023-06-15 00:11:35.699] Heartbeat: 0
[2023-06-15 00:11:38.700] Heartbeat: 1
[2023-06-15 00:11:41.699] Heartbeat: 0
[2023-06-15 00:11:44.699] Heartbeat: 1
[2023-06-15 00:11:47.700] Heartbeat: 0
[2023-06-15 00:11:50.700] Heartbeat: 1
[2023-06-15 00:11:53.700] Heartbeat: 0
[2023-06-15 00:11:56.700] Heartbeat: 1
[2023-06-15 00:11:59.700] Heartbeat: 0
[2023-06-15 00:12:02.700] Heartbeat: 1
[2023-06-15 00:12:05.701] Heartbeat: 0
[2023-06-15 00:12:08.701] Heartbeat: 1
[2023-06-15 00:12:11.700] Heartbeat: 0
[2023-06-15 00:12:14.700] Heartbeat: 1
[2023-06-15 00:12:17.700] Heartbeat: 0
[2023-06-15 00:12:20.701] Heartbeat: 1
[2023-06-15 00:12:23.701] Heartbeat: 0
[2023-06-15 00:12:26.702] Heartbeat: 1
[2023-06-15 00:12:29.701] Heartbeat: 0
[2023-06-15 00:12:32.701] Heartbeat: 1
[2023-06-15 00:12:35.700] Heartbeat: 0
[2023-06-15 00:12:38.701] Heartbeat: 1
[2023-06-15 00:12:41.701] Heartbeat: 0
[2023-06-15 00:12:44.702] Heartbeat: 1
[2023-06-15 00:12:47.702] Heartbeat: 0
[2023-06-15 00:12:50.702] Heartbeat: 1
[2023-06-15 00:12:53.701] Heartbeat: 0
[2023-06-15 00:12:56.702] Heartbeat: 1
[2023-06-15 00:12:59.702] Heartbeat: 0
[2023-06-15 00:13:02.702] Heartbeat: 1
[2023-06-15 00:13:05.702] Heartbeat: 0
[2023-06-15 00:13:08.702] Heartbeat: 1
[2023-06-15 00:13:11.702] Heartbeat: 0
[2023-06-15 00:13:14.703] Heartbeat: 1
[2023-06-15 00:13:17.703] Heartbeat: 0
[2023-06-15 00:13:20.702] Heartbeat: 1
[2023-06-15 00:13:23.703] Heartbeat: 0
[2023-06-15 00:13:26.703] Heartbeat: 1
[2023-06-15 00:13:29.703] Heartbeat: 0
[2023-06-15 00:13:32.703] Heartbeat: 1
[2023-06-15 00:13:35.703] Heartbeat: 0
[2023-06-15 00:13:38.703] Heartbeat: 1
[2023-06-15 00:13:41.703] Heartbeat: 0
[2023-06-15 00:13:44.703] Heartbeat: 1
[2023-06-15 00:13:47.703] Heartbeat: 0
[2023-06-15 00:13:50.704] Heartbeat: 1
[2023-06-15 00:13:53.703] Heartbeat: 0
[2023-06-15 00:13:56.703] Heartbeat: 1
[2023-06-15 00:13:59.704] Heartbeat: 0
[2023-06-15 00:14:02.704] Heartbeat: 1
[2023-06-15 00:14:05.704] Heartbeat: 0
[2023-06-15 00:14:08.714] Heartbeat: 1
[2023-06-15 00:14:11.714] Heartbeat: 0
[2023-06-15 00:14:14.714] Heartbeat: 1
[2023-06-15 00:14:17.715] Heartbeat: 0
[2023-06-15 00:14:20.715] Heartbeat: 1
[2023-06-15 00:14:23.714] Heartbeat: 0
[2023-06-15 00:14:26.715] Heartbeat: 1
[2023-06-15 00:14:29.715] Heartbeat: 0
[2023-06-15 00:14:32.714] Heartbeat: 1
[2023-06-15 00:14:35.715] Heartbeat: 0
[2023-06-15 00:14:38.715] Heartbeat: 1
[2023-06-15 00:14:41.715] Heartbeat: 0
[2023-06-15 00:14:44.715] Heartbeat: 1
[2023-06-15 00:14:47.716] Heartbeat: 0
[2023-06-15 00:14:50.716] Heartbeat: 1
[2023-06-15 00:14:53.715] Heartbeat: 0
[2023-06-15 00:14:56.717] Heartbeat: 1
[2023-06-15 00:14:59.715] Heartbeat: 0
[2023-06-15 00:15:02.715] Heartbeat: 1
[2023-06-15 00:15:05.716] Heartbeat: 0
[2023-06-15 00:15:08.715] Heartbeat: 1
[2023-06-15 00:15:11.716] Heartbeat: 0
[2023-06-15 00:15:14.716] Heartbeat: 1
[2023-06-15 00:15:17.716] Heartbeat: 0
[2023-06-15 00:15:20.716] Heartbeat: 1
[2023-06-15 00:15:23.716] Heartbeat: 0
[2023-06-15 00:15:26.717] Heartbeat: 1
[2023-06-15 00:15:29.716] Heartbeat: 0
[2023-06-15 00:15:32.717] Heartbeat: 1
[2023-06-15 00:15:35.717] Heartbeat: 0
[2023-06-15 00:15:38.717] Heartbeat: 1
[2023-06-15 00:15:41.716] Heartbeat: 0
[2023-06-15 00:15:44.717] Heartbeat: 1
[2023-06-15 00:15:47.717] Heartbeat: 0
[2023-06-15 00:15:50.717] Heartbeat: 1
[2023-06-15 00:15:53.717] Heartbeat: 0
[2023-06-15 00:15:56.717] Heartbeat: 1
[2023-06-15 00:15:59.718] Heartbeat: 0
[2023-06-15 00:16:02.717] Heartbeat: 1
[2023-06-15 00:16:05.718] Heartbeat: 0
[2023-06-15 00:16:08.718] Heartbeat: 1
[2023-06-15 00:16:11.718] Heartbeat: 0
[2023-06-15 00:16:14.722] Heartbeat: 1
[2023-06-15 00:16:17.723] Heartbeat: 0
[2023-06-15 00:16:20.720] Heartbeat: 1
[2023-06-15 00:16:23.719] Heartbeat: 0
[2023-06-15 00:16:26.718] Heartbeat: 1
[2023-06-15 00:16:29.724] Heartbeat: 0
[2023-06-15 00:16:32.720] Heartbeat: 1
[2023-06-15 00:16:35.719] Heartbeat: 0
[2023-06-15 00:16:38.718] Heartbeat: 1
[2023-06-15 00:16:41.721] Heartbeat: 0
[2023-06-15 00:16:44.719] Heartbeat: 1
[2023-06-15 00:16:47.719] Heartbeat: 0
[2023-06-15 00:16:50.718] Heartbeat: 1
[2023-06-15 00:16:53.724] Heartbeat: 0
[2023-06-15 00:16:56.721] Heartbeat: 1
[2023-06-15 00:16:59.724] Heartbeat: 0
[2023-06-15 00:17:02.719] Heartbeat: 1
[2023-06-15 00:17:05.724] Heartbeat: 0
[2023-06-15 00:17:08.721] Heartbeat: 1
[2023-06-15 00:17:11.725] Heartbeat: 0
[2023-06-15 00:17:14.720] Heartbeat: 1
[2023-06-15 00:17:17.724] Heartbeat: 0
[2023-06-15 00:17:20.719] Heartbeat: 1
[2023-06-15 00:17:23.723] Heartbeat: 0
[2023-06-15 00:17:26.721] Heartbeat: 1
[2023-06-15 00:17:29.726] Heartbeat: 0
[2023-06-15 00:17:32.722] Heartbeat: 1
[2023-06-15 00:17:35.721] Heartbeat: 0
[2023-06-15 00:17:38.723] Heartbeat: 1
[2023-06-15 00:17:41.726] Heartbeat: 0
[2023-06-15 00:17:44.723] Heartbeat: 1
[2023-06-15 00:17:47.722] Heartbeat: 0
[2023-06-15 00:17:50.723] Heartbeat: 1
[2023-06-15 00:17:53.721] Heartbeat: 0
[2023-06-15 00:17:56.723] Heartbeat: 1
[2023-06-15 00:17:59.723] Heartbeat: 0
[2023-06-15 00:18:02.722] Heartbeat: 1
[2023-06-15 00:18:05.726] Heartbeat: 0
[2023-06-15 00:18:08.722] Heartbeat: 1
[2023-06-15 00:18:11.721] Heartbeat: 0
[2023-06-15 00:18:14.721] Heartbeat: 1
[2023-06-15 00:18:17.721] Heartbeat: 0
[2023-06-15 00:18:20.721] Heartbeat: 1
[2023-06-15 00:18:23.722] Heartbeat: 0
[2023-06-15 00:18:26.721] Heartbeat: 1
[2023-06-15 00:18:29.722] Heartbeat: 0
[2023-06-15 00:18:32.722] Heartbeat: 1
[2023-06-15 00:18:35.722] Heartbeat: 0
[2023-06-15 00:18:38.722] Heartbeat: 1
[2023-06-15 00:18:41.722] Heartbeat: 0
[2023-06-15 00:18:44.723] Heartbeat: 1
[2023-06-15 00:18:47.722] Heartbeat: 0
[2023-06-15 00:18:50.722] Heartbeat: 1
[2023-06-15 00:18:53.723] Heartbeat: 0
[2023-06-15 00:18:56.722] Heartbeat: 1
[2023-06-15 00:18:59.722] Heartbeat: 0
[2023-06-15 00:19:02.723] Heartbeat: 1
[2023-06-15 00:19:05.723] Heartbeat: 0
[2023-06-15 00:19:08.723] Heartbeat: 1
[2023-06-15 00:19:11.724] Heartbeat: 0
[2023-06-15 00:19:14.723] Heartbeat: 1
[2023-06-15 00:19:17.723] Heartbeat: 0
[2023-06-15 00:19:20.724] Heartbeat: 1
[2023-06-15 00:19:23.723] Heartbeat: 0
[2023-06-15 00:19:26.723] Heartbeat: 1
[2023-06-15 00:19:29.723] Heartbeat: 0
[2023-06-15 00:19:32.724] Heartbeat: 1
[2023-06-15 00:19:35.724] Heartbeat: 0
[2023-06-15 00:19:38.724] Heartbeat: 1
[2023-06-15 00:19:41.724] Heartbeat: 0
[2023-06-15 00:19:44.724] Heartbeat: 1
[2023-06-15 00:19:47.725] Heartbeat: 0
[2023-06-15 00:19:50.724] Heartbeat: 1
[2023-06-15 00:19:53.724] Heartbeat: 0
[2023-06-15 00:19:56.725] Heartbeat: 1
[2023-06-15 00:19:59.725] Heartbeat: 0
[2023-06-15 00:20:02.724] Heartbeat: 1
[2023-06-15 00:20:05.725] Heartbeat: 0
[2023-06-15 00:20:08.725] Heartbeat: 1
[2023-06-15 00:20:11.724] Heartbeat: 0
[2023-06-15 00:20:14.725] Heartbeat: 1
[2023-06-15 00:20:17.725] Heartbeat: 0
[2023-06-15 00:20:20.725] Heartbeat: 1
[2023-06-15 00:20:23.725] Heartbeat: 0
[2023-06-15 00:20:26.725] Heartbeat: 1
[2023-06-15 00:20:29.725] Heartbeat: 0
[2023-06-15 00:20:32.726] Heartbeat: 1
[2023-06-15 00:20:35.725] Heartbeat: 0
[2023-06-15 00:20:38.725] Heartbeat: 1
[2023-06-15 00:20:41.726] Heartbeat: 0
[2023-06-15 00:20:44.726] Heartbeat: 1
[2023-06-15 00:20:47.726] Heartbeat: 0
[2023-06-15 00:20:50.726] Heartbeat: 1
[2023-06-15 00:20:53.726] Heartbeat: 0
[2023-06-15 00:20:56.726] Heartbeat: 1
[2023-06-15 00:20:59.726] Heartbeat: 0
[2023-06-15 00:21:02.727] Heartbeat: 1
[2023-06-15 00:21:05.727] Heartbeat: 0
[2023-06-15 00:21:08.726] Heartbeat: 1
[2023-06-15 00:21:11.727] Heartbeat: 0
[2023-06-15 00:21:14.727] Heartbeat: 1
[2023-06-15 00:21:17.726] Heartbeat: 0
[2023-06-15 00:21:20.727] Heartbeat: 1
[2023-06-15 00:21:23.727] Heartbeat: 0
[2023-06-15 00:21:26.727] Heartbeat: 1
[2023-06-15 00:21:29.727] Heartbeat: 0
[2023-06-15 00:21:32.727] Heartbeat: 1
[2023-06-15 00:21:35.727] Heartbeat: 0
[2023-06-15 00:21:38.727] Heartbeat: 1
[2023-06-15 00:21:41.727] Heartbeat: 0
[2023-06-15 00:21:44.727] Heartbeat: 1
[2023-06-15 00:21:47.727] Heartbeat: 0
[2023-06-15 00:21:50.728] Heartbeat: 1
[2023-06-15 00:21:53.728] Heartbeat: 0
[2023-06-15 00:21:56.727] Heartbeat: 1
[2023-06-15 00:21:59.728] Heartbeat: 0
[2023-06-15 00:22:02.728] Heartbeat: 1
[2023-06-15 00:22:05.728] Heartbeat: 0
[2023-06-15 00:22:08.729] Heartbeat: 1
[2023-06-15 00:22:11.728] Heartbeat: 0
[2023-06-15 00:22:14.728] Heartbeat: 1
[2023-06-15 00:22:17.728] Heartbeat: 0
[2023-06-15 00:22:20.728] Heartbeat: 1
[2023-06-15 00:22:23.728] Heartbeat: 0
[2023-06-15 00:22:26.729] Heartbeat: 1
[2023-06-15 00:22:29.729] Heartbeat: 0
[2023-06-15 00:22:32.729] Heartbeat: 1
[2023-06-15 00:22:35.729] Heartbeat: 0
[2023-06-15 00:22:38.729] Heartbeat: 1
[2023-06-15 00:22:41.729] Heartbeat: 0
[2023-06-15 00:22:44.729] Heartbeat: 1
[2023-06-15 00:22:47.730] Heartbeat: 0
[2023-06-15 00:22:50.729] Heartbeat: 1
[2023-06-15 00:22:53.730] Heartbeat: 0
[2023-06-15 00:22:56.730] Heartbeat: 1
[2023-06-15 00:22:59.730] Heartbeat: 0
[2023-06-15 00:23:02.730] Heartbeat: 1
[2023-06-15 00:23:05.730] Heartbeat: 0
[2023-06-15 00:23:08.730] Heartbeat: 1
[2023-06-15 00:23:11.730] Heartbeat: 0
[2023-06-15 00:23:14.730] Heartbeat: 1
[2023-06-15 00:23:17.731] Heartbeat: 0
[2023-06-15 00:23:20.730] Heartbeat: 1
[2023-06-15 00:23:23.730] Heartbeat: 0
