#Application: JXR BSC 1.8.1.1
#Release Date: 20210916
#Modbus Model: C2C Model
[2022-06-23 00:00:02.247] Heartbeat: 1
[2022-06-23 00:00:05.247] Heartbeat: 0
[2022-06-23 00:00:08.248] Heartbeat: 1
[2022-06-23 00:00:11.248] Heartbeat: 0
[2022-06-23 00:00:14.247] Heartbeat: 1
[2022-06-23 00:00:17.247] Heartbeat: 0
[2022-06-23 00:00:20.247] Heartbeat: 1
[2022-06-23 00:00:23.248] Heartbeat: 0
[2022-06-23 00:00:26.248] Heartbeat: 1
[2022-06-23 00:00:29.248] Heartbeat: 0
[2022-06-23 00:00:32.248] Heartbeat: 1
[2022-06-23 00:00:35.248] Heartbeat: 0
[2022-06-23 00:00:38.248] Heartbeat: 1
[2022-06-23 00:00:41.248] Heartbeat: 0
[2022-06-23 00:00:44.249] Heartbeat: 1
[2022-06-23 00:00:47.249] Heartbeat: 0
[2022-06-23 00:00:50.248] Heartbeat: 1
[2022-06-23 00:00:53.248] Heartbeat: 0
[2022-06-23 00:00:56.248] Heartbeat: 1
[2022-06-23 00:00:59.249] Heartbeat: 0
[2022-06-23 00:01:02.249] Heartbeat: 1
[2022-06-23 00:01:05.249] Heartbeat: 0
[2022-06-23 00:01:08.249] Heartbeat: 1
[2022-06-23 00:01:11.250] Heartbeat: 0
[2022-06-23 00:01:14.249] Heartbeat: 1
[2022-06-23 00:01:17.249] Heartbeat: 0
[2022-06-23 00:01:20.249] Heartbeat: 1
[2022-06-23 00:01:23.250] Heartbeat: 0
[2022-06-23 00:01:26.249] Heartbeat: 1
[2022-06-23 00:01:29.249] Heartbeat: 0
[2022-06-23 00:01:32.250] Heartbeat: 1
[2022-06-23 00:01:35.250] Heartbeat: 0
[2022-06-23 00:01:38.250] Heartbeat: 1
[2022-06-23 00:01:41.249] Heartbeat: 0
[2022-06-23 00:01:44.250] Heartbeat: 1
[2022-06-23 00:01:47.251] Heartbeat: 0
[2022-06-23 00:01:50.250] Heartbeat: 1
[2022-06-23 00:01:53.250] Heartbeat: 0
[2022-06-23 00:01:56.251] Heartbeat: 1
[2022-06-23 00:01:59.251] Heartbeat: 0
[2022-06-23 00:02:02.250] Heartbeat: 1
[2022-06-23 00:02:05.250] Heartbeat: 0
[2022-06-23 00:02:08.250] Heartbeat: 1
[2022-06-23 00:02:11.252] Heartbeat: 0
[2022-06-23 00:02:14.251] Heartbeat: 1
[2022-06-23 00:02:17.251] Heartbeat: 0
[2022-06-23 00:02:20.251] Heartbeat: 1
[2022-06-23 00:02:23.252] Heartbeat: 0
[2022-06-23 00:02:26.252] Heartbeat: 1
[2022-06-23 00:02:29.251] Heartbeat: 0
[2022-06-23 00:02:32.252] Heartbeat: 1
[2022-06-23 00:02:35.252] Heartbeat: 0
[2022-06-23 00:02:38.252] Heartbeat: 1
[2022-06-23 00:02:41.251] Heartbeat: 0
[2022-06-23 00:02:44.252] Heartbeat: 1
[2022-06-23 00:02:47.253] Heartbeat: 0
