#Application: JXR BSC 1.7.6.4
#Release Date: 20200813
#Modbus Model: C2C Model
[2021-06-21 00:00:01.658] Heartbeat: 0
[2021-06-21 00:00:04.658] Heartbeat: 1
[2021-06-21 00:00:07.658] Heartbeat: 0
[2021-06-21 00:00:10.658] Heartbeat: 1
[2021-06-21 00:00:13.659] Heartbeat: 0
[2021-06-21 00:00:16.659] Heartbeat: 1
[2021-06-21 00:00:19.659] Heartbeat: 0
[2021-06-21 00:00:22.658] Heartbeat: 1
[2021-06-21 00:00:25.659] Heartbeat: 0
[2021-06-21 00:00:28.659] Heartbeat: 1
[2021-06-21 00:00:31.659] Heartbeat: 0
[2021-06-21 00:00:34.659] Heartbeat: 1
[2021-06-21 00:00:37.659] Heartbeat: 0
[2021-06-21 00:00:40.658] Heartbeat: 1
[2021-06-21 00:00:43.660] Heartbeat: 0
[2021-06-21 00:00:46.659] Heartbeat: 1
[2021-06-21 00:00:49.659] Heartbeat: 0
[2021-06-21 00:00:52.659] Heartbeat: 1
[2021-06-21 00:00:55.659] Heartbeat: 0
[2021-06-21 00:00:58.659] Heartbeat: 1
[2021-06-21 00:01:01.660] Heartbeat: 0
[2021-06-21 00:01:04.660] Heartbeat: 1
[2021-06-21 00:01:07.660] Heartbeat: 0
[2021-06-21 00:01:10.660] Heartbeat: 1
[2021-06-21 00:01:13.660] Heartbeat: 0
[2021-06-21 00:01:16.659] Heartbeat: 1
[2021-06-21 00:01:19.659] Heartbeat: 0
[2021-06-21 00:01:22.660] Heartbeat: 1
[2021-06-21 00:01:25.660] Heartbeat: 0
[2021-06-21 00:01:28.660] Heartbeat: 1
[2021-06-21 00:01:31.660] Heartbeat: 0
[2021-06-21 00:01:34.660] Heartbeat: 1
[2021-06-21 00:01:37.660] Heartbeat: 0
[2021-06-21 00:01:40.660] Heartbeat: 1
[2021-06-21 00:01:43.660] Heartbeat: 0
[2021-06-21 00:01:46.661] Heartbeat: 1
[2021-06-21 00:01:49.661] Heartbeat: 0
[2021-06-21 00:01:52.661] Heartbeat: 1
[2021-06-21 00:01:55.661] Heartbeat: 0
[2021-06-21 00:01:58.662] Heartbeat: 1
[2021-06-21 00:02:01.661] Heartbeat: 0
[2021-06-21 00:02:04.661] Heartbeat: 1
[2021-06-21 00:02:07.662] Heartbeat: 0
[2021-06-21 00:02:10.661] Heartbeat: 1
[2021-06-21 00:02:13.661] Heartbeat: 0
[2021-06-21 00:02:16.661] Heartbeat: 1
[2021-06-21 00:02:19.662] Heartbeat: 0
[2021-06-21 00:02:22.661] Heartbeat: 1
[2021-06-21 00:02:25.662] Heartbeat: 0
[2021-06-21 00:02:28.662] Heartbeat: 1
[2021-06-21 00:02:31.662] Heartbeat: 0
[2021-06-21 00:02:34.662] Heartbeat: 1
[2021-06-21 00:02:37.662] Heartbeat: 0
[2021-06-21 00:02:40.663] Heartbeat: 1
[2021-06-21 00:02:43.662] Heartbeat: 0
[2021-06-21 00:02:46.662] Heartbeat: 1
[2021-06-21 00:02:49.662] Heartbeat: 0
[2021-06-21 00:02:52.663] Heartbeat: 1
[2021-06-21 00:02:55.663] Heartbeat: 0
[2021-06-21 00:02:58.663] Heartbeat: 1
[2021-06-21 00:03:01.663] Heartbeat: 0
[2021-06-21 00:03:04.663] Heartbeat: 1
[2021-06-21 00:03:07.663] Heartbeat: 0
[2021-06-21 00:03:10.663] Heartbeat: 1
[2021-06-21 00:03:13.663] Heartbeat: 0
[2021-06-21 00:03:16.663] Heartbeat: 1
[2021-06-21 00:03:19.663] Heartbeat: 0
[2021-06-21 00:03:22.663] Heartbeat: 1
[2021-06-21 00:03:25.663] Heartbeat: 0
[2021-06-21 00:03:28.663] Heartbeat: 1
[2021-06-21 00:03:31.663] Heartbeat: 0
[2021-06-21 00:03:34.664] Heartbeat: 1
[2021-06-21 00:03:37.663] Heartbeat: 0
[2021-06-21 00:03:40.664] Heartbeat: 1
[2021-06-21 00:03:43.664] Heartbeat: 0
[2021-06-21 00:03:46.664] Heartbeat: 1
