#Application: JXR BSC 1.8.1.1
#Release Date: 20210916
#Modbus Model: C2C Model
[2022-06-13 00:00:02.741] Heartbeat: 1
[2022-06-13 00:00:05.740] Heartbeat: 0
[2022-06-13 00:00:08.741] Heartbeat: 1
[2022-06-13 00:00:11.740] Heartbeat: 0
[2022-06-13 00:00:14.741] Heartbeat: 1
[2022-06-13 00:00:17.880] Heartbeat: 0
[2022-06-13 00:00:20.742] Heartbeat: 1
[2022-06-13 00:00:23.741] Heartbeat: 0
[2022-06-13 00:00:26.741] Heartbeat: 1
[2022-06-13 00:00:29.741] Heartbeat: 0
[2022-06-13 00:00:32.742] Heartbeat: 1
[2022-06-13 00:00:35.742] Heartbeat: 0
[2022-06-13 00:00:38.742] Heartbeat: 1
[2022-06-13 00:00:41.742] Heartbeat: 0
[2022-06-13 00:00:44.742] Heartbeat: 1
[2022-06-13 00:00:47.742] Heartbeat: 0
[2022-06-13 00:00:50.742] Heartbeat: 1
[2022-06-13 00:00:53.742] Heartbeat: 0
[2022-06-13 00:00:56.744] Heartbeat: 1
[2022-06-13 00:00:59.744] Heartbeat: 0
[2022-06-13 00:01:02.744] Heartbeat: 1
[2022-06-13 00:01:05.743] Heartbeat: 0
[2022-06-13 00:01:08.745] Heartbeat: 1
[2022-06-13 00:01:11.745] Heartbeat: 0
[2022-06-13 00:01:14.745] Heartbeat: 1
[2022-06-13 00:01:17.885] Heartbeat: 0
[2022-06-13 00:01:20.883] Heartbeat: 1
[2022-06-13 00:01:23.883] Heartbeat: 0
[2022-06-13 00:01:26.883] Heartbeat: 1
[2022-06-13 00:01:29.885] Heartbeat: 0
[2022-06-13 00:01:32.883] Heartbeat: 1
[2022-06-13 00:01:35.885] Heartbeat: 0
[2022-06-13 00:01:38.884] Heartbeat: 1
[2022-06-13 00:01:41.888] Heartbeat: 0
[2022-06-13 00:01:44.886] Heartbeat: 1
[2022-06-13 00:01:47.885] Heartbeat: 0
[2022-06-13 00:01:50.885] Heartbeat: 1
[2022-06-13 00:01:53.894] Heartbeat: 0
[2022-06-13 00:01:56.887] Heartbeat: 1
[2022-06-13 00:01:59.886] Heartbeat: 0
[2022-06-13 00:02:02.886] Heartbeat: 1
[2022-06-13 00:02:05.889] Heartbeat: 0
[2022-06-13 00:02:08.888] Heartbeat: 1
[2022-06-13 00:02:11.888] Heartbeat: 0
[2022-06-13 00:02:14.889] Heartbeat: 1
[2022-06-13 00:02:17.891] Heartbeat: 0
[2022-06-13 00:02:20.889] Heartbeat: 1
[2022-06-13 00:02:23.889] Heartbeat: 0
[2022-06-13 00:02:26.890] Heartbeat: 1
[2022-06-13 00:02:29.893] Heartbeat: 0
[2022-06-13 00:02:32.890] Heartbeat: 1
[2022-06-13 00:02:35.889] Heartbeat: 0
[2022-06-13 00:02:38.890] Heartbeat: 1
[2022-06-13 00:02:41.896] Heartbeat: 0
[2022-06-13 00:02:44.890] Heartbeat: 1
[2022-06-13 00:02:47.890] Heartbeat: 0
[2022-06-13 00:02:50.890] Heartbeat: 1
[2022-06-13 00:02:53.893] Heartbeat: 0
[2022-06-13 00:02:56.892] Heartbeat: 1
[2022-06-13 00:02:59.891] Heartbeat: 0
[2022-06-13 00:03:02.892] Heartbeat: 1
[2022-06-13 00:03:05.892] Heartbeat: 0
[2022-06-13 00:03:08.892] Heartbeat: 1
[2022-06-13 00:03:11.892] Heartbeat: 0
[2022-06-13 00:03:14.891] Heartbeat: 1
[2022-06-13 00:03:17.900] Heartbeat: 0
[2022-06-13 00:03:20.893] Heartbeat: 1
[2022-06-13 00:03:23.893] Heartbeat: 0
[2022-06-13 00:03:26.893] Heartbeat: 1
[2022-06-13 00:03:29.896] Heartbeat: 0
[2022-06-13 00:03:32.893] Heartbeat: 1
[2022-06-13 00:03:35.894] Heartbeat: 0
[2022-06-13 00:03:38.893] Heartbeat: 1
[2022-06-13 00:03:41.897] Heartbeat: 0
[2022-06-13 00:03:44.894] Heartbeat: 1
[2022-06-13 00:03:47.895] Heartbeat: 0
[2022-06-13 00:03:50.895] Heartbeat: 1
[2022-06-13 00:03:53.896] Heartbeat: 0
[2022-06-13 00:03:56.895] Heartbeat: 1
[2022-06-13 00:03:59.896] Heartbeat: 0
[2022-06-13 00:04:02.895] Heartbeat: 1
[2022-06-13 00:04:05.901] Heartbeat: 0
[2022-06-13 00:04:08.898] Heartbeat: 1
[2022-06-13 00:04:11.897] Heartbeat: 0
[2022-06-13 00:04:14.898] Heartbeat: 1
[2022-06-13 00:04:17.906] Heartbeat: 0
[2022-06-13 00:04:20.899] Heartbeat: 1
[2022-06-13 00:04:23.899] Heartbeat: 0
[2022-06-13 00:04:26.899] Heartbeat: 1
[2022-06-13 00:04:29.900] Heartbeat: 0
[2022-06-13 00:04:32.899] Heartbeat: 1
[2022-06-13 00:04:35.899] Heartbeat: 0
[2022-06-13 00:04:38.900] Heartbeat: 1
[2022-06-13 00:04:41.899] Heartbeat: 0
[2022-06-13 00:04:44.900] Heartbeat: 1
[2022-06-13 00:04:47.900] Heartbeat: 0
