#Application: JXR BSC 1.8.1.1
#Release Date: 20210916
#Modbus Model: C2C Model
[2022-06-09 00:00:01.405] Heartbeat: 0
[2022-06-09 00:00:04.405] Heartbeat: 1
[2022-06-09 00:00:07.405] Heartbeat: 0
[2022-06-09 00:00:10.404] Heartbeat: 1
[2022-06-09 00:00:13.405] Heartbeat: 0
[2022-06-09 00:00:16.406] Heartbeat: 1
[2022-06-09 00:00:19.405] Heartbeat: 0
[2022-06-09 00:00:22.406] Heartbeat: 1
[2022-06-09 00:00:25.405] Heartbeat: 0
[2022-06-09 00:00:28.406] Heartbeat: 1
[2022-06-09 00:00:31.406] Heartbeat: 0
[2022-06-09 00:00:34.406] Heartbeat: 1
[2022-06-09 00:00:37.406] Heartbeat: 0
[2022-06-09 00:00:40.406] Heartbeat: 1
[2022-06-09 00:00:43.406] Heartbeat: 0
[2022-06-09 00:00:46.407] Heartbeat: 1
[2022-06-09 00:00:49.406] Heartbeat: 0
[2022-06-09 00:00:52.406] Heartbeat: 1
[2022-06-09 00:00:55.406] Heartbeat: 0
[2022-06-09 00:00:58.415] Heartbeat: 1
[2022-06-09 00:01:01.415] Heartbeat: 0
[2022-06-09 00:01:04.414] Heartbeat: 1
[2022-06-09 00:01:07.415] Heartbeat: 0
[2022-06-09 00:01:10.415] Heartbeat: 1
[2022-06-09 00:01:13.416] Heartbeat: 0
[2022-06-09 00:01:16.414] Heartbeat: 1
[2022-06-09 00:01:19.415] Heartbeat: 0
[2022-06-09 00:01:22.414] Heartbeat: 1
[2022-06-09 00:01:25.415] Heartbeat: 0
[2022-06-09 00:01:28.417] Heartbeat: 1
[2022-06-09 00:01:31.417] Heartbeat: 0
[2022-06-09 00:01:34.416] Heartbeat: 1
[2022-06-09 00:01:37.416] Heartbeat: 0
[2022-06-09 00:01:40.416] Heartbeat: 1
[2022-06-09 00:01:43.417] Heartbeat: 0
[2022-06-09 00:01:46.417] Heartbeat: 1
[2022-06-09 00:01:49.416] Heartbeat: 0
[2022-06-09 00:01:52.417] Heartbeat: 1
[2022-06-09 00:01:55.417] Heartbeat: 0
[2022-06-09 00:01:58.417] Heartbeat: 1
[2022-06-09 00:02:01.425] Heartbeat: 0
[2022-06-09 00:02:04.418] Heartbeat: 1
[2022-06-09 00:02:07.418] Heartbeat: 0
[2022-06-09 00:02:10.418] Heartbeat: 1
[2022-06-09 00:02:13.418] Heartbeat: 0
[2022-06-09 00:02:16.420] Heartbeat: 1
[2022-06-09 00:02:19.419] Heartbeat: 0
[2022-06-09 00:02:22.420] Heartbeat: 1
