#Application: JXR BSC 1.7.6.4
#Release Date: 20200813
#Modbus Model: C2C Model
[2021-06-08 00:00:02.759] Heartbeat: 0
[2021-06-08 00:00:05.759] Heartbeat: 1
[2021-06-08 00:00:08.759] Heartbeat: 0
[2021-06-08 00:00:11.759] Heartbeat: 1
[2021-06-08 00:00:14.759] Heartbeat: 0
[2021-06-08 00:00:17.759] Heartbeat: 1
[2021-06-08 00:00:20.759] Heartbeat: 0
[2021-06-08 00:00:23.759] Heartbeat: 1
[2021-06-08 00:00:26.759] Heartbeat: 0
[2021-06-08 00:00:29.760] Heartbeat: 1
[2021-06-08 00:00:32.759] Heartbeat: 0
[2021-06-08 00:00:35.760] Heartbeat: 1
[2021-06-08 00:00:38.760] Heartbeat: 0
[2021-06-08 00:00:41.760] Heartbeat: 1
[2021-06-08 00:00:44.760] Heartbeat: 0
[2021-06-08 00:00:47.760] Heartbeat: 1
[2021-06-08 00:00:50.760] Heartbeat: 0
[2021-06-08 00:00:53.760] Heartbeat: 1
[2021-06-08 00:00:56.760] Heartbeat: 0
[2021-06-08 00:00:59.761] Heartbeat: 1
[2021-06-08 00:01:02.760] Heartbeat: 0
[2021-06-08 00:01:05.760] Heartbeat: 1
[2021-06-08 00:01:08.761] Heartbeat: 0
[2021-06-08 00:01:11.761] Heartbeat: 1
[2021-06-08 00:01:14.761] Heartbeat: 0
[2021-06-08 00:01:17.761] Heartbeat: 1
[2021-06-08 00:01:20.761] Heartbeat: 0
[2021-06-08 00:01:23.761] Heartbeat: 1
[2021-06-08 00:01:26.760] Heartbeat: 0
[2021-06-08 00:01:29.761] Heartbeat: 1
[2021-06-08 00:01:32.761] Heartbeat: 0
[2021-06-08 00:01:35.761] Heartbeat: 1
[2021-06-08 00:01:38.761] Heartbeat: 0
[2021-06-08 00:01:41.761] Heartbeat: 1
[2021-06-08 00:01:44.761] Heartbeat: 0
[2021-06-08 00:01:47.761] Heartbeat: 1
[2021-06-08 00:01:50.761] Heartbeat: 0
[2021-06-08 00:01:53.762] Heartbeat: 1
[2021-06-08 00:01:56.762] Heartbeat: 0
[2021-06-08 00:01:59.761] Heartbeat: 1
[2021-06-08 00:02:02.762] Heartbeat: 0
[2021-06-08 00:02:05.762] Heartbeat: 1
[2021-06-08 00:02:08.762] Heartbeat: 0
[2021-06-08 00:02:11.762] Heartbeat: 1
[2021-06-08 00:02:14.762] Heartbeat: 0
[2021-06-08 00:02:17.762] Heartbeat: 1
[2021-06-08 00:02:20.762] Heartbeat: 0
[2021-06-08 00:02:23.762] Heartbeat: 1
[2021-06-08 00:02:26.763] Heartbeat: 0
[2021-06-08 00:02:29.763] Heartbeat: 1
[2021-06-08 00:02:32.763] Heartbeat: 0
[2021-06-08 00:02:35.763] Heartbeat: 1
[2021-06-08 00:02:38.763] Heartbeat: 0
[2021-06-08 00:02:41.763] Heartbeat: 1
[2021-06-08 00:02:44.763] Heartbeat: 0
[2021-06-08 00:02:47.763] Heartbeat: 1
[2021-06-08 00:02:50.763] Heartbeat: 0
[2021-06-08 00:02:53.763] Heartbeat: 1
[2021-06-08 00:02:56.763] Heartbeat: 0
[2021-06-08 00:02:59.763] Heartbeat: 1
[2021-06-08 00:03:02.763] Heartbeat: 0
[2021-06-08 00:03:05.763] Heartbeat: 1
[2021-06-08 00:03:08.763] Heartbeat: 0
[2021-06-08 00:03:11.763] Heartbeat: 1
[2021-06-08 00:03:14.763] Heartbeat: 0
[2021-06-08 00:03:17.763] Heartbeat: 1
[2021-06-08 00:03:20.763] Heartbeat: 0
[2021-06-08 00:03:23.763] Heartbeat: 1
[2021-06-08 00:03:26.763] Heartbeat: 0
[2021-06-08 00:03:29.763] Heartbeat: 1
[2021-06-08 00:03:32.764] Heartbeat: 0
[2021-06-08 00:03:35.763] Heartbeat: 1
[2021-06-08 00:03:38.764] Heartbeat: 0
[2021-06-08 00:03:41.764] Heartbeat: 1
[2021-06-08 00:03:44.764] Heartbeat: 0
[2021-06-08 00:03:47.765] Heartbeat: 1
[2021-06-08 00:03:50.765] Heartbeat: 0
[2021-06-08 00:03:53.765] Heartbeat: 1
[2021-06-08 00:03:56.765] Heartbeat: 0
[2021-06-08 00:03:59.765] Heartbeat: 1
[2021-06-08 00:04:02.765] Heartbeat: 0
[2021-06-08 00:04:05.765] Heartbeat: 1
[2021-06-08 00:04:08.765] Heartbeat: 0
[2021-06-08 00:04:11.765] Heartbeat: 1
[2021-06-08 00:04:14.765] Heartbeat: 0
[2021-06-08 00:04:17.765] Heartbeat: 1
[2021-06-08 00:04:20.765] Heartbeat: 0
[2021-06-08 00:04:23.765] Heartbeat: 1
[2021-06-08 00:04:26.766] Heartbeat: 0
[2021-06-08 00:04:29.766] Heartbeat: 1
[2021-06-08 00:04:32.765] Heartbeat: 0
[2021-06-08 00:04:35.766] Heartbeat: 1
[2021-06-08 00:04:38.766] Heartbeat: 0
[2021-06-08 00:04:41.766] Heartbeat: 1
[2021-06-08 00:04:44.765] Heartbeat: 0
[2021-06-08 00:04:47.766] Heartbeat: 1
[2021-06-08 00:04:50.766] Heartbeat: 0
[2021-06-08 00:04:53.766] Heartbeat: 1
[2021-06-08 00:04:56.766] Heartbeat: 0
[2021-06-08 00:04:59.766] Heartbeat: 1
[2021-06-08 00:05:02.766] Heartbeat: 0
[2021-06-08 00:05:05.767] Heartbeat: 1
[2021-06-08 00:05:08.766] Heartbeat: 0
[2021-06-08 00:05:11.766] Heartbeat: 1
[2021-06-08 00:05:14.766] Heartbeat: 0
[2021-06-08 00:05:17.767] Heartbeat: 1
[2021-06-08 00:05:20.767] Heartbeat: 0
[2021-06-08 00:05:23.767] Heartbeat: 1
[2021-06-08 00:05:26.767] Heartbeat: 0
[2021-06-08 00:05:29.767] Heartbeat: 1
[2021-06-08 00:05:32.767] Heartbeat: 0
[2021-06-08 00:05:35.767] Heartbeat: 1
[2021-06-08 00:05:38.767] Heartbeat: 0
[2021-06-08 00:05:41.767] Heartbeat: 1
[2021-06-08 00:05:44.767] Heartbeat: 0
[2021-06-08 00:05:47.767] Heartbeat: 1
[2021-06-08 00:05:50.767] Heartbeat: 0
[2021-06-08 00:05:53.768] Heartbeat: 1
[2021-06-08 00:05:56.767] Heartbeat: 0
[2021-06-08 00:05:59.768] Heartbeat: 1
[2021-06-08 00:06:02.768] Heartbeat: 0
[2021-06-08 00:06:05.768] Heartbeat: 1
[2021-06-08 00:06:08.769] Heartbeat: 0
[2021-06-08 00:06:11.767] Heartbeat: 1
[2021-06-08 00:06:14.768] Heartbeat: 0
[2021-06-08 00:06:17.768] Heartbeat: 1
[2021-06-08 00:06:20.769] Heartbeat: 0
[2021-06-08 00:06:23.769] Heartbeat: 1
[2021-06-08 00:06:26.768] Heartbeat: 0
[2021-06-08 00:06:29.769] Heartbeat: 1
[2021-06-08 00:06:32.769] Heartbeat: 0
[2021-06-08 00:06:35.768] Heartbeat: 1
[2021-06-08 00:06:38.769] Heartbeat: 0
[2021-06-08 00:06:41.769] Heartbeat: 1
[2021-06-08 00:06:44.769] Heartbeat: 0
[2021-06-08 00:06:47.769] Heartbeat: 1
[2021-06-08 00:06:50.769] Heartbeat: 0
[2021-06-08 00:06:53.769] Heartbeat: 1
[2021-06-08 00:06:56.770] Heartbeat: 0
[2021-06-08 00:06:59.769] Heartbeat: 1
[2021-06-08 00:07:02.770] Heartbeat: 0
[2021-06-08 00:07:05.770] Heartbeat: 1
[2021-06-08 00:07:08.769] Heartbeat: 0
[2021-06-08 00:07:11.769] Heartbeat: 1
[2021-06-08 00:07:14.770] Heartbeat: 0
[2021-06-08 00:07:17.770] Heartbeat: 1
[2021-06-08 00:07:20.770] Heartbeat: 0
[2021-06-08 00:07:23.770] Heartbeat: 1
[2021-06-08 00:07:26.771] Heartbeat: 0
[2021-06-08 00:07:29.771] Heartbeat: 1
[2021-06-08 00:07:32.771] Heartbeat: 0
[2021-06-08 00:07:35.770] Heartbeat: 1
[2021-06-08 00:07:38.771] Heartbeat: 0
[2021-06-08 00:07:41.770] Heartbeat: 1
[2021-06-08 00:07:44.771] Heartbeat: 0
[2021-06-08 00:07:47.771] Heartbeat: 1
[2021-06-08 00:07:50.771] Heartbeat: 0
[2021-06-08 00:07:53.771] Heartbeat: 1
[2021-06-08 00:07:56.771] Heartbeat: 0
[2021-06-08 00:07:59.771] Heartbeat: 1
[2021-06-08 00:08:02.770] Heartbeat: 0
[2021-06-08 00:08:05.771] Heartbeat: 1
[2021-06-08 00:08:08.771] Heartbeat: 0
[2021-06-08 00:08:11.771] Heartbeat: 1
[2021-06-08 00:08:14.771] Heartbeat: 0
[2021-06-08 00:08:17.772] Heartbeat: 1
[2021-06-08 00:08:20.771] Heartbeat: 0
[2021-06-08 00:08:23.771] Heartbeat: 1
[2021-06-08 00:08:26.771] Heartbeat: 0
[2021-06-08 00:08:29.772] Heartbeat: 1
[2021-06-08 00:08:32.771] Heartbeat: 0
[2021-06-08 00:08:35.772] Heartbeat: 1
[2021-06-08 00:08:38.772] Heartbeat: 0
[2021-06-08 00:08:41.772] Heartbeat: 1
[2021-06-08 00:08:44.772] Heartbeat: 0
[2021-06-08 00:08:47.772] Heartbeat: 1
[2021-06-08 00:08:50.772] Heartbeat: 0
[2021-06-08 00:08:53.772] Heartbeat: 1
[2021-06-08 00:08:56.772] Heartbeat: 0
[2021-06-08 00:08:59.772] Heartbeat: 1
[2021-06-08 00:09:02.773] Heartbeat: 0
[2021-06-08 00:09:05.773] Heartbeat: 1
[2021-06-08 00:09:08.773] Heartbeat: 0
[2021-06-08 00:09:11.772] Heartbeat: 1
[2021-06-08 00:09:14.773] Heartbeat: 0
[2021-06-08 00:09:17.773] Heartbeat: 1
[2021-06-08 00:09:20.773] Heartbeat: 0
[2021-06-08 00:09:23.773] Heartbeat: 1
[2021-06-08 00:09:26.773] Heartbeat: 0
[2021-06-08 00:09:29.773] Heartbeat: 1
[2021-06-08 00:09:32.773] Heartbeat: 0
[2021-06-08 00:09:35.773] Heartbeat: 1
[2021-06-08 00:09:38.773] Heartbeat: 0
[2021-06-08 00:09:41.773] Heartbeat: 1
[2021-06-08 00:09:44.774] Heartbeat: 0
[2021-06-08 00:09:47.774] Heartbeat: 1
[2021-06-08 00:09:50.774] Heartbeat: 0
[2021-06-08 00:09:53.774] Heartbeat: 1
[2021-06-08 00:09:56.774] Heartbeat: 0
[2021-06-08 00:09:59.774] Heartbeat: 1
[2021-06-08 00:10:02.773] Heartbeat: 0
[2021-06-08 00:10:05.774] Heartbeat: 1
[2021-06-08 00:10:08.775] Heartbeat: 0
[2021-06-08 00:10:11.774] Heartbeat: 1
[2021-06-08 00:10:14.774] Heartbeat: 0
[2021-06-08 00:10:17.775] Heartbeat: 1
[2021-06-08 00:10:20.774] Heartbeat: 0
[2021-06-08 00:10:23.774] Heartbeat: 1
[2021-06-08 00:10:26.774] Heartbeat: 0
[2021-06-08 00:10:29.775] Heartbeat: 1
[2021-06-08 00:10:32.775] Heartbeat: 0
[2021-06-08 00:10:35.774] Heartbeat: 1
[2021-06-08 00:10:38.774] Heartbeat: 0
[2021-06-08 00:10:41.775] Heartbeat: 1
[2021-06-08 00:10:44.775] Heartbeat: 0
[2021-06-08 00:10:47.775] Heartbeat: 1
[2021-06-08 00:10:50.775] Heartbeat: 0
[2021-06-08 00:10:53.775] Heartbeat: 1
[2021-06-08 00:10:56.775] Heartbeat: 0
[2021-06-08 00:10:59.775] Heartbeat: 1
[2021-06-08 00:11:02.775] Heartbeat: 0
[2021-06-08 00:11:05.776] Heartbeat: 1
[2021-06-08 00:11:08.776] Heartbeat: 0
[2021-06-08 00:11:11.776] Heartbeat: 1
[2021-06-08 00:11:14.776] Heartbeat: 0
[2021-06-08 00:11:17.776] Heartbeat: 1
[2021-06-08 00:11:20.776] Heartbeat: 0
[2021-06-08 00:11:23.776] Heartbeat: 1
[2021-06-08 00:11:26.776] Heartbeat: 0
[2021-06-08 00:11:29.776] Heartbeat: 1
[2021-06-08 00:11:32.777] Heartbeat: 0
[2021-06-08 00:11:35.776] Heartbeat: 1
[2021-06-08 00:11:38.777] Heartbeat: 0
[2021-06-08 00:11:41.776] Heartbeat: 1
[2021-06-08 00:11:44.777] Heartbeat: 0
[2021-06-08 00:11:47.777] Heartbeat: 1
[2021-06-08 00:11:50.777] Heartbeat: 0
[2021-06-08 00:11:53.776] Heartbeat: 1
[2021-06-08 00:11:56.777] Heartbeat: 0
[2021-06-08 00:11:59.777] Heartbeat: 1
[2021-06-08 00:12:02.777] Heartbeat: 0
[2021-06-08 00:12:05.777] Heartbeat: 1
[2021-06-08 00:12:08.777] Heartbeat: 0
[2021-06-08 00:12:11.777] Heartbeat: 1
[2021-06-08 00:12:14.777] Heartbeat: 0
[2021-06-08 00:12:17.777] Heartbeat: 1
[2021-06-08 00:12:20.778] Heartbeat: 0
[2021-06-08 00:12:23.778] Heartbeat: 1
[2021-06-08 00:12:26.777] Heartbeat: 0
[2021-06-08 00:12:29.777] Heartbeat: 1
[2021-06-08 00:12:32.778] Heartbeat: 0
[2021-06-08 00:12:35.778] Heartbeat: 1
[2021-06-08 00:12:38.778] Heartbeat: 0
[2021-06-08 00:12:41.778] Heartbeat: 1
[2021-06-08 00:12:44.778] Heartbeat: 0
[2021-06-08 00:12:47.778] Heartbeat: 1
[2021-06-08 00:12:50.778] Heartbeat: 0
[2021-06-08 00:12:53.779] Heartbeat: 1
[2021-06-08 00:12:56.778] Heartbeat: 0
[2021-06-08 00:12:59.779] Heartbeat: 1
[2021-06-08 00:13:02.778] Heartbeat: 0
[2021-06-08 00:13:05.778] Heartbeat: 1
[2021-06-08 00:13:08.779] Heartbeat: 0
[2021-06-08 00:13:11.780] Heartbeat: 1
[2021-06-08 00:13:14.780] Heartbeat: 0
[2021-06-08 00:13:17.780] Heartbeat: 1
[2021-06-08 00:13:20.780] Heartbeat: 0
[2021-06-08 00:13:23.780] Heartbeat: 1
[2021-06-08 00:13:26.780] Heartbeat: 0
[2021-06-08 00:13:29.780] Heartbeat: 1
[2021-06-08 00:13:32.780] Heartbeat: 0
[2021-06-08 00:13:35.780] Heartbeat: 1
[2021-06-08 00:13:38.780] Heartbeat: 0
[2021-06-08 00:13:41.780] Heartbeat: 1
[2021-06-08 00:13:44.780] Heartbeat: 0
[2021-06-08 00:13:47.781] Heartbeat: 1
[2021-06-08 00:13:50.781] Heartbeat: 0
[2021-06-08 00:13:53.781] Heartbeat: 1
[2021-06-08 00:13:56.781] Heartbeat: 0
[2021-06-08 00:13:59.781] Heartbeat: 1
[2021-06-08 00:14:02.781] Heartbeat: 0
[2021-06-08 00:14:05.781] Heartbeat: 1
[2021-06-08 00:14:08.782] Heartbeat: 0
[2021-06-08 00:14:11.781] Heartbeat: 1
[2021-06-08 00:14:14.781] Heartbeat: 0
[2021-06-08 00:14:17.782] Heartbeat: 1
[2021-06-08 00:14:20.782] Heartbeat: 0
[2021-06-08 00:14:23.782] Heartbeat: 1
[2021-06-08 00:14:26.782] Heartbeat: 0
[2021-06-08 00:14:29.782] Heartbeat: 1
[2021-06-08 00:14:32.782] Heartbeat: 0
[2021-06-08 00:14:35.783] Heartbeat: 1
[2021-06-08 00:14:38.783] Heartbeat: 0
[2021-06-08 00:14:41.783] Heartbeat: 1
[2021-06-08 00:14:44.783] Heartbeat: 0
[2021-06-08 00:14:47.784] Heartbeat: 1
[2021-06-08 00:14:50.783] Heartbeat: 0
[2021-06-08 00:14:53.783] Heartbeat: 1
[2021-06-08 00:14:56.783] Heartbeat: 0
[2021-06-08 00:14:59.784] Heartbeat: 1
[2021-06-08 00:15:02.783] Heartbeat: 0
[2021-06-08 00:15:05.784] Heartbeat: 1
[2021-06-08 00:15:08.784] Heartbeat: 0
[2021-06-08 00:15:11.784] Heartbeat: 1
[2021-06-08 00:15:14.784] Heartbeat: 0
[2021-06-08 00:15:17.784] Heartbeat: 1
[2021-06-08 00:15:20.784] Heartbeat: 0
[2021-06-08 00:15:23.784] Heartbeat: 1
[2021-06-08 00:15:26.785] Heartbeat: 0
[2021-06-08 00:15:29.784] Heartbeat: 1
[2021-06-08 00:15:32.784] Heartbeat: 0
[2021-06-08 00:15:35.784] Heartbeat: 1
[2021-06-08 00:15:38.784] Heartbeat: 0
[2021-06-08 00:15:41.785] Heartbeat: 1
[2021-06-08 00:15:44.785] Heartbeat: 0
[2021-06-08 00:15:47.784] Heartbeat: 1
[2021-06-08 00:15:50.785] Heartbeat: 0
[2021-06-08 00:15:53.785] Heartbeat: 1
[2021-06-08 00:15:56.785] Heartbeat: 0
[2021-06-08 00:15:59.785] Heartbeat: 1
[2021-06-08 00:16:02.785] Heartbeat: 0
[2021-06-08 00:16:05.785] Heartbeat: 1
[2021-06-08 00:16:08.785] Heartbeat: 0
[2021-06-08 00:16:11.786] Heartbeat: 1
[2021-06-08 00:16:14.786] Heartbeat: 0
[2021-06-08 00:16:17.786] Heartbeat: 1
[2021-06-08 00:16:20.785] Heartbeat: 0
[2021-06-08 00:16:23.786] Heartbeat: 1
[2021-06-08 00:16:26.786] Heartbeat: 0
[2021-06-08 00:16:29.785] Heartbeat: 1
[2021-06-08 00:16:32.786] Heartbeat: 0
[2021-06-08 00:16:35.786] Heartbeat: 1
[2021-06-08 00:16:38.786] Heartbeat: 0
[2021-06-08 00:16:41.786] Heartbeat: 1
[2021-06-08 00:16:44.787] Heartbeat: 0
[2021-06-08 00:16:47.787] Heartbeat: 1
[2021-06-08 00:16:50.786] Heartbeat: 0
[2021-06-08 00:16:53.787] Heartbeat: 1
[2021-06-08 00:16:56.787] Heartbeat: 0
[2021-06-08 00:16:59.786] Heartbeat: 1
[2021-06-08 00:17:02.786] Heartbeat: 0
[2021-06-08 00:17:05.787] Heartbeat: 1
[2021-06-08 00:17:08.787] Heartbeat: 0
[2021-06-08 00:17:11.787] Heartbeat: 1
[2021-06-08 00:17:14.787] Heartbeat: 0
[2021-06-08 00:17:17.787] Heartbeat: 1
[2021-06-08 00:17:20.787] Heartbeat: 0
[2021-06-08 00:17:23.787] Heartbeat: 1
[2021-06-08 00:17:26.787] Heartbeat: 0
[2021-06-08 00:17:29.787] Heartbeat: 1
[2021-06-08 00:17:32.787] Heartbeat: 0
[2021-06-08 00:17:35.788] Heartbeat: 1
[2021-06-08 00:17:38.787] Heartbeat: 0
[2021-06-08 00:17:41.788] Heartbeat: 1
[2021-06-08 00:17:44.788] Heartbeat: 0
[2021-06-08 00:17:47.788] Heartbeat: 1
[2021-06-08 00:17:50.788] Heartbeat: 0
[2021-06-08 00:17:53.788] Heartbeat: 1
[2021-06-08 00:17:56.788] Heartbeat: 0
[2021-06-08 00:17:59.788] Heartbeat: 1
[2021-06-08 00:18:02.788] Heartbeat: 0
[2021-06-08 00:18:05.788] Heartbeat: 1
[2021-06-08 00:18:08.789] Heartbeat: 0
[2021-06-08 00:18:11.788] Heartbeat: 1
[2021-06-08 00:18:14.789] Heartbeat: 0
[2021-06-08 00:18:17.788] Heartbeat: 1
[2021-06-08 00:18:20.789] Heartbeat: 0
[2021-06-08 00:18:23.789] Heartbeat: 1
[2021-06-08 00:18:26.789] Heartbeat: 0
[2021-06-08 00:18:29.788] Heartbeat: 1
[2021-06-08 00:18:32.789] Heartbeat: 0
[2021-06-08 00:18:35.789] Heartbeat: 1
[2021-06-08 00:18:38.789] Heartbeat: 0
[2021-06-08 00:18:41.789] Heartbeat: 1
[2021-06-08 00:18:44.789] Heartbeat: 0
[2021-06-08 00:18:47.790] Heartbeat: 1
[2021-06-08 00:18:50.790] Heartbeat: 0
[2021-06-08 00:18:53.790] Heartbeat: 1
[2021-06-08 00:18:56.788] Heartbeat: 0
[2021-06-08 00:18:59.790] Heartbeat: 1
[2021-06-08 00:19:02.789] Heartbeat: 0
[2021-06-08 00:19:05.790] Heartbeat: 1
[2021-06-08 00:19:08.790] Heartbeat: 0
[2021-06-08 00:19:11.790] Heartbeat: 1
[2021-06-08 00:19:14.790] Heartbeat: 0
[2021-06-08 00:19:17.790] Heartbeat: 1
[2021-06-08 00:19:20.790] Heartbeat: 0
[2021-06-08 00:19:23.790] Heartbeat: 1
[2021-06-08 00:19:26.790] Heartbeat: 0
[2021-06-08 00:19:29.790] Heartbeat: 1
[2021-06-08 00:19:32.791] Heartbeat: 0
[2021-06-08 00:19:35.790] Heartbeat: 1
[2021-06-08 00:19:38.791] Heartbeat: 0
[2021-06-08 00:19:41.791] Heartbeat: 1
[2021-06-08 00:19:44.791] Heartbeat: 0
[2021-06-08 00:19:47.790] Heartbeat: 1
[2021-06-08 00:19:50.791] Heartbeat: 0
[2021-06-08 00:19:53.790] Heartbeat: 1
[2021-06-08 00:19:56.791] Heartbeat: 0
[2021-06-08 00:19:59.791] Heartbeat: 1
[2021-06-08 00:20:02.791] Heartbeat: 0
[2021-06-08 00:20:05.791] Heartbeat: 1
[2021-06-08 00:20:08.792] Heartbeat: 0
[2021-06-08 00:20:11.792] Heartbeat: 1
[2021-06-08 00:20:14.793] Heartbeat: 0
[2021-06-08 00:20:17.795] Heartbeat: 1
[2021-06-08 00:20:20.797] Heartbeat: 0
[2021-06-08 00:20:23.799] Heartbeat: 1
[2021-06-08 00:20:26.802] Heartbeat: 0
[2021-06-08 00:20:29.803] Heartbeat: 1
[2021-06-08 00:20:32.806] Heartbeat: 0
[2021-06-08 00:20:35.808] Heartbeat: 1
[2021-06-08 00:20:38.812] Heartbeat: 0
[2021-06-08 00:20:41.792] Heartbeat: 1
[2021-06-08 00:20:44.793] Heartbeat: 0
[2021-06-08 00:20:47.792] Heartbeat: 1
[2021-06-08 00:20:50.792] Heartbeat: 0
[2021-06-08 00:20:53.792] Heartbeat: 1
[2021-06-08 00:20:56.792] Heartbeat: 0
[2021-06-08 00:20:59.793] Heartbeat: 1
[2021-06-08 00:21:02.793] Heartbeat: 0
[2021-06-08 00:21:05.792] Heartbeat: 1
[2021-06-08 00:21:08.793] Heartbeat: 0
