#Application: JXR BSC 1.8.1.1
#Release Date: 20210916
#Modbus Model: C2C Model
[2023-06-24 00:00:01.718] Heartbeat: 0
[2023-06-24 00:00:04.718] Heartbeat: 1
[2023-06-24 00:00:07.719] Heartbeat: 0
[2023-06-24 00:00:10.719] Heartbeat: 1
[2023-06-24 00:00:13.718] Heartbeat: 0
[2023-06-24 00:00:16.718] Heartbeat: 1
[2023-06-24 00:00:19.718] Heartbeat: 0
[2023-06-24 00:00:22.718] Heartbeat: 1
[2023-06-24 00:00:25.719] Heartbeat: 0
[2023-06-24 00:00:28.719] Heartbeat: 1
[2023-06-24 00:00:31.719] Heartbeat: 0
[2023-06-24 00:00:34.719] Heartbeat: 1
[2023-06-24 00:00:37.719] Heartbeat: 0
[2023-06-24 00:00:40.719] Heartbeat: 1
[2023-06-24 00:00:43.719] Heartbeat: 0
[2023-06-24 00:00:46.719] Heartbeat: 1
[2023-06-24 00:00:49.720] Heartbeat: 0
[2023-06-24 00:00:52.719] Heartbeat: 1
[2023-06-24 00:00:55.719] Heartbeat: 0
[2023-06-24 00:00:58.719] Heartbeat: 1
[2023-06-24 00:01:01.719] Heartbeat: 0
[2023-06-24 00:01:04.719] Heartbeat: 1
[2023-06-24 00:01:07.719] Heartbeat: 0
[2023-06-24 00:01:10.720] Heartbeat: 1
[2023-06-24 00:01:13.721] Heartbeat: 0
[2023-06-24 00:01:16.721] Heartbeat: 1
[2023-06-24 00:01:19.721] Heartbeat: 0
[2023-06-24 00:01:22.721] Heartbeat: 1
[2023-06-24 00:01:25.720] Heartbeat: 0
[2023-06-24 00:01:28.721] Heartbeat: 1
[2023-06-24 00:01:31.721] Heartbeat: 0
[2023-06-24 00:01:34.721] Heartbeat: 1
[2023-06-24 00:01:37.721] Heartbeat: 0
[2023-06-24 00:01:40.721] Heartbeat: 1
[2023-06-24 00:01:43.721] Heartbeat: 0
[2023-06-24 00:01:46.722] Heartbeat: 1
[2023-06-24 00:01:49.721] Heartbeat: 0
[2023-06-24 00:01:52.721] Heartbeat: 1
[2023-06-24 00:01:55.722] Heartbeat: 0
[2023-06-24 00:01:58.722] Heartbeat: 1
[2023-06-24 00:02:01.721] Heartbeat: 0
[2023-06-24 00:02:04.721] Heartbeat: 1
[2023-06-24 00:02:07.722] Heartbeat: 0
[2023-06-24 00:02:10.722] Heartbeat: 1
[2023-06-24 00:02:13.722] Heartbeat: 0
[2023-06-24 00:02:16.722] Heartbeat: 1
[2023-06-24 00:02:19.722] Heartbeat: 0
[2023-06-24 00:02:22.723] Heartbeat: 1
[2023-06-24 00:02:25.721] Heartbeat: 0
[2023-06-24 00:02:28.722] Heartbeat: 1
[2023-06-24 00:02:31.722] Heartbeat: 0
[2023-06-24 00:02:34.722] Heartbeat: 1
[2023-06-24 00:02:37.723] Heartbeat: 0
[2023-06-24 00:02:40.723] Heartbeat: 1
[2023-06-24 00:02:43.722] Heartbeat: 0
[2023-06-24 00:02:46.723] Heartbeat: 1
[2023-06-24 00:02:49.723] Heartbeat: 0
[2023-06-24 00:02:52.723] Heartbeat: 1
[2023-06-24 00:02:55.723] Heartbeat: 0
[2023-06-24 00:02:58.723] Heartbeat: 1
[2023-06-24 00:03:01.724] Heartbeat: 0
[2023-06-24 00:03:04.723] Heartbeat: 1
[2023-06-24 00:03:07.723] Heartbeat: 0
[2023-06-24 00:03:10.723] Heartbeat: 1
[2023-06-24 00:03:13.723] Heartbeat: 0
[2023-06-24 00:03:16.724] Heartbeat: 1
[2023-06-24 00:03:19.723] Heartbeat: 0
[2023-06-24 00:03:22.724] Heartbeat: 1
[2023-06-24 00:03:25.724] Heartbeat: 0
[2023-06-24 00:03:28.724] Heartbeat: 1
[2023-06-24 00:03:31.724] Heartbeat: 0
[2023-06-24 00:03:34.725] Heartbeat: 1
[2023-06-24 00:03:37.725] Heartbeat: 0
[2023-06-24 00:03:40.725] Heartbeat: 1
[2023-06-24 00:03:43.724] Heartbeat: 0
[2023-06-24 00:03:46.724] Heartbeat: 1
[2023-06-24 00:03:49.725] Heartbeat: 0
[2023-06-24 00:03:52.724] Heartbeat: 1
[2023-06-24 00:03:55.725] Heartbeat: 0
[2023-06-24 00:03:58.725] Heartbeat: 1
[2023-06-24 00:04:01.725] Heartbeat: 0
[2023-06-24 00:04:04.726] Heartbeat: 1
[2023-06-24 00:04:07.725] Heartbeat: 0
[2023-06-24 00:04:10.726] Heartbeat: 1
[2023-06-24 00:04:13.725] Heartbeat: 0
[2023-06-24 00:04:16.728] Heartbeat: 1
[2023-06-24 00:04:19.726] Heartbeat: 0
[2023-06-24 00:04:22.725] Heartbeat: 1
[2023-06-24 00:04:25.727] Heartbeat: 0
[2023-06-24 00:04:28.726] Heartbeat: 1
[2023-06-24 00:04:31.726] Heartbeat: 0
[2023-06-24 00:04:34.726] Heartbeat: 1
[2023-06-24 00:04:37.727] Heartbeat: 0
[2023-06-24 00:04:40.726] Heartbeat: 1
[2023-06-24 00:04:43.726] Heartbeat: 0
[2023-06-24 00:04:46.726] Heartbeat: 1
[2023-06-24 00:04:49.727] Heartbeat: 0
[2023-06-24 00:04:52.725] Heartbeat: 1
[2023-06-24 00:04:55.727] Heartbeat: 0
[2023-06-24 00:04:58.726] Heartbeat: 1
[2023-06-24 00:05:01.727] Heartbeat: 0
[2023-06-24 00:05:04.727] Heartbeat: 1
[2023-06-24 00:05:07.726] Heartbeat: 0
[2023-06-24 00:05:10.727] Heartbeat: 1
[2023-06-24 00:05:13.727] Heartbeat: 0
[2023-06-24 00:05:16.727] Heartbeat: 1
[2023-06-24 00:05:19.727] Heartbeat: 0
[2023-06-24 00:05:22.728] Heartbeat: 1
[2023-06-24 00:05:25.728] Heartbeat: 0
[2023-06-24 00:05:28.728] Heartbeat: 1
[2023-06-24 00:05:31.728] Heartbeat: 0
[2023-06-24 00:05:34.727] Heartbeat: 1
[2023-06-24 00:05:37.727] Heartbeat: 0
[2023-06-24 00:05:40.728] Heartbeat: 1
[2023-06-24 00:05:43.728] Heartbeat: 0
[2023-06-24 00:05:46.728] Heartbeat: 1
[2023-06-24 00:05:49.728] Heartbeat: 0
[2023-06-24 00:05:52.728] Heartbeat: 1
[2023-06-24 00:05:55.729] Heartbeat: 0
[2023-06-24 00:05:58.728] Heartbeat: 1
[2023-06-24 00:06:01.729] Heartbeat: 0
[2023-06-24 00:06:04.728] Heartbeat: 1
[2023-06-24 00:06:07.728] Heartbeat: 0
[2023-06-24 00:06:10.729] Heartbeat: 1
[2023-06-24 00:06:13.729] Heartbeat: 0
[2023-06-24 00:06:16.729] Heartbeat: 1
[2023-06-24 00:06:19.729] Heartbeat: 0
[2023-06-24 00:06:22.729] Heartbeat: 1
[2023-06-24 00:06:25.729] Heartbeat: 0
[2023-06-24 00:06:28.729] Heartbeat: 1
[2023-06-24 00:06:31.730] Heartbeat: 0
[2023-06-24 00:06:34.730] Heartbeat: 1
[2023-06-24 00:06:37.729] Heartbeat: 0
[2023-06-24 00:06:40.729] Heartbeat: 1
[2023-06-24 00:06:43.729] Heartbeat: 0
[2023-06-24 00:06:46.729] Heartbeat: 1
[2023-06-24 00:06:49.730] Heartbeat: 0
[2023-06-24 00:06:52.730] Heartbeat: 1
[2023-06-24 00:06:55.730] Heartbeat: 0
[2023-06-24 00:06:58.730] Heartbeat: 1
[2023-06-24 00:07:01.730] Heartbeat: 0
[2023-06-24 00:07:04.730] Heartbeat: 1
[2023-06-24 00:07:07.730] Heartbeat: 0
[2023-06-24 00:07:10.730] Heartbeat: 1
[2023-06-24 00:07:13.731] Heartbeat: 0
[2023-06-24 00:07:16.730] Heartbeat: 1
[2023-06-24 00:07:19.731] Heartbeat: 0
[2023-06-24 00:07:22.731] Heartbeat: 1
[2023-06-24 00:07:25.731] Heartbeat: 0
[2023-06-24 00:07:28.731] Heartbeat: 1
[2023-06-24 00:07:31.731] Heartbeat: 0
[2023-06-24 00:07:34.731] Heartbeat: 1
[2023-06-24 00:07:37.731] Heartbeat: 0
[2023-06-24 00:07:40.731] Heartbeat: 1
[2023-06-24 00:07:43.731] Heartbeat: 0
[2023-06-24 00:07:46.732] Heartbeat: 1
[2023-06-24 00:07:49.732] Heartbeat: 0
[2023-06-24 00:07:52.731] Heartbeat: 1
[2023-06-24 00:07:55.731] Heartbeat: 0
[2023-06-24 00:07:58.731] Heartbeat: 1
[2023-06-24 00:08:01.732] Heartbeat: 0
[2023-06-24 00:08:04.732] Heartbeat: 1
[2023-06-24 00:08:07.732] Heartbeat: 0
[2023-06-24 00:08:10.732] Heartbeat: 1
[2023-06-24 00:08:13.732] Heartbeat: 0
[2023-06-24 00:08:16.732] Heartbeat: 1
[2023-06-24 00:08:19.734] Heartbeat: 0
[2023-06-24 00:08:22.732] Heartbeat: 1
[2023-06-24 00:08:25.733] Heartbeat: 0
[2023-06-24 00:08:28.732] Heartbeat: 1
[2023-06-24 00:08:31.733] Heartbeat: 0
[2023-06-24 00:08:34.733] Heartbeat: 1
[2023-06-24 00:08:37.733] Heartbeat: 0
[2023-06-24 00:08:40.733] Heartbeat: 1
[2023-06-24 00:08:43.734] Heartbeat: 0
[2023-06-24 00:08:46.733] Heartbeat: 1
[2023-06-24 00:08:49.733] Heartbeat: 0
[2023-06-24 00:08:52.733] Heartbeat: 1
[2023-06-24 00:08:55.733] Heartbeat: 0
[2023-06-24 00:08:58.734] Heartbeat: 1
[2023-06-24 00:09:01.733] Heartbeat: 0
[2023-06-24 00:09:04.734] Heartbeat: 1
[2023-06-24 00:09:07.734] Heartbeat: 0
[2023-06-24 00:09:10.734] Heartbeat: 1
[2023-06-24 00:09:13.735] Heartbeat: 0
[2023-06-24 00:09:16.734] Heartbeat: 1
[2023-06-24 00:09:19.734] Heartbeat: 0
[2023-06-24 00:09:22.734] Heartbeat: 1
[2023-06-24 00:09:25.735] Heartbeat: 0
[2023-06-24 00:09:28.735] Heartbeat: 1
[2023-06-24 00:09:31.734] Heartbeat: 0
[2023-06-24 00:09:34.735] Heartbeat: 1
[2023-06-24 00:09:37.734] Heartbeat: 0
[2023-06-24 00:09:40.735] Heartbeat: 1
[2023-06-24 00:09:43.735] Heartbeat: 0
[2023-06-24 00:09:46.735] Heartbeat: 1
[2023-06-24 00:09:49.735] Heartbeat: 0
