#Application: JXR BSC 1.8.1.1
#Release Date: 20210916
#Modbus Model: C2C Model
[2022-06-02 00:00:02.609] Heartbeat: 0
[2022-06-02 00:00:05.610] Heartbeat: 1
[2022-06-02 00:00:08.610] Heartbeat: 0
[2022-06-02 00:00:11.611] Heartbeat: 1
[2022-06-02 00:00:14.610] Heartbeat: 0
[2022-06-02 00:00:17.610] Heartbeat: 1
[2022-06-02 00:00:20.611] Heartbeat: 0
[2022-06-02 00:00:23.610] Heartbeat: 1
[2022-06-02 00:00:26.611] Heartbeat: 0
[2022-06-02 00:00:29.611] Heartbeat: 1
[2022-06-02 00:00:32.611] Heartbeat: 0
[2022-06-02 00:00:35.611] Heartbeat: 1
[2022-06-02 00:00:38.611] Heartbeat: 0
[2022-06-02 00:00:41.611] Heartbeat: 1
[2022-06-02 00:00:44.611] Heartbeat: 0
[2022-06-02 00:00:47.611] Heartbeat: 1
[2022-06-02 00:00:50.611] Heartbeat: 0
[2022-06-02 00:00:53.612] Heartbeat: 1
[2022-06-02 00:00:56.611] Heartbeat: 0
[2022-06-02 00:00:59.612] Heartbeat: 1
[2022-06-02 00:01:02.612] Heartbeat: 0
[2022-06-02 00:01:05.613] Heartbeat: 1
[2022-06-02 00:01:08.613] Heartbeat: 0
[2022-06-02 00:01:11.612] Heartbeat: 1
[2022-06-02 00:01:14.613] Heartbeat: 0
[2022-06-02 00:01:17.612] Heartbeat: 1
[2022-06-02 00:01:20.612] Heartbeat: 0
[2022-06-02 00:01:23.612] Heartbeat: 1
[2022-06-02 00:01:26.612] Heartbeat: 0
[2022-06-02 00:01:29.613] Heartbeat: 1
[2022-06-02 00:01:32.613] Heartbeat: 0
[2022-06-02 00:01:35.613] Heartbeat: 1
[2022-06-02 00:01:38.613] Heartbeat: 0
[2022-06-02 00:01:41.612] Heartbeat: 1
[2022-06-02 00:01:44.613] Heartbeat: 0
[2022-06-02 00:01:47.614] Heartbeat: 1
[2022-06-02 00:01:50.613] Heartbeat: 0
[2022-06-02 00:01:53.613] Heartbeat: 1
[2022-06-02 00:01:56.614] Heartbeat: 0
[2022-06-02 00:01:59.613] Heartbeat: 1
[2022-06-02 00:02:02.614] Heartbeat: 0
[2022-06-02 00:02:05.614] Heartbeat: 1
[2022-06-02 00:02:08.614] Heartbeat: 0
[2022-06-02 00:02:11.614] Heartbeat: 1
[2022-06-02 00:02:14.614] Heartbeat: 0
[2022-06-02 00:02:17.614] Heartbeat: 1
[2022-06-02 00:02:20.614] Heartbeat: 0
[2022-06-02 00:02:23.614] Heartbeat: 1
[2022-06-02 00:02:26.614] Heartbeat: 0
[2022-06-02 00:02:29.615] Heartbeat: 1
[2022-06-02 00:02:32.615] Heartbeat: 0
[2022-06-02 00:02:35.615] Heartbeat: 1
[2022-06-02 00:02:38.615] Heartbeat: 0
[2022-06-02 00:02:41.615] Heartbeat: 1
[2022-06-02 00:02:44.614] Heartbeat: 0
[2022-06-02 00:02:47.614] Heartbeat: 1
[2022-06-02 00:02:50.615] Heartbeat: 0
[2022-06-02 00:02:53.615] Heartbeat: 1
[2022-06-02 00:02:56.614] Heartbeat: 0
[2022-06-02 00:02:59.615] Heartbeat: 1
[2022-06-02 00:03:02.615] Heartbeat: 0
[2022-06-02 00:03:05.616] Heartbeat: 1
[2022-06-02 00:03:08.615] Heartbeat: 0
[2022-06-02 00:03:11.616] Heartbeat: 1
[2022-06-02 00:03:14.615] Heartbeat: 0
[2022-06-02 00:03:17.615] Heartbeat: 1
[2022-06-02 00:03:20.616] Heartbeat: 0
[2022-06-02 00:03:23.616] Heartbeat: 1
[2022-06-02 00:03:26.616] Heartbeat: 0
[2022-06-02 00:03:29.616] Heartbeat: 1
[2022-06-02 00:03:32.616] Heartbeat: 0
[2022-06-02 00:03:35.616] Heartbeat: 1
[2022-06-02 00:03:38.616] Heartbeat: 0
[2022-06-02 00:03:41.617] Heartbeat: 1
[2022-06-02 00:03:44.617] Heartbeat: 0
[2022-06-02 00:03:47.617] Heartbeat: 1
[2022-06-02 00:03:50.617] Heartbeat: 0
[2022-06-02 00:03:53.617] Heartbeat: 1
[2022-06-02 00:03:56.617] Heartbeat: 0
[2022-06-02 00:03:59.617] Heartbeat: 1
[2022-06-02 00:04:02.617] Heartbeat: 0
[2022-06-02 00:04:05.617] Heartbeat: 1
[2022-06-02 00:04:08.618] Heartbeat: 0
[2022-06-02 00:04:11.617] Heartbeat: 1
[2022-06-02 00:04:14.617] Heartbeat: 0
[2022-06-02 00:04:17.617] Heartbeat: 1
[2022-06-02 00:04:20.618] Heartbeat: 0
[2022-06-02 00:04:23.618] Heartbeat: 1
[2022-06-02 00:04:26.618] Heartbeat: 0
[2022-06-02 00:04:29.618] Heartbeat: 1
[2022-06-02 00:04:32.618] Heartbeat: 0
[2022-06-02 00:04:35.618] Heartbeat: 1
[2022-06-02 00:04:38.618] Heartbeat: 0
[2022-06-02 00:04:41.619] Heartbeat: 1
[2022-06-02 00:04:44.618] Heartbeat: 0
