#Application: JXR BSC 1.7.6.4
#Release Date: 20200813
#Modbus Model: C2C Model
[2021-06-25 00:00:02.848] Heartbeat: 1
[2021-06-25 00:00:05.848] Heartbeat: 0
[2021-06-25 00:00:08.849] Heartbeat: 1
[2021-06-25 00:00:11.848] Heartbeat: 0
[2021-06-25 00:00:14.848] Heartbeat: 1
[2021-06-25 00:00:17.848] Heartbeat: 0
[2021-06-25 00:00:20.848] Heartbeat: 1
[2021-06-25 00:00:23.849] Heartbeat: 0
[2021-06-25 00:00:26.849] Heartbeat: 1
[2021-06-25 00:00:29.849] Heartbeat: 0
[2021-06-25 00:00:32.849] Heartbeat: 1
[2021-06-25 00:00:35.849] Heartbeat: 0
[2021-06-25 00:00:38.849] Heartbeat: 1
[2021-06-25 00:00:41.849] Heartbeat: 0
[2021-06-25 00:00:44.849] Heartbeat: 1
[2021-06-25 00:00:47.849] Heartbeat: 0
[2021-06-25 00:00:50.849] Heartbeat: 1
[2021-06-25 00:00:53.850] Heartbeat: 0
[2021-06-25 00:00:56.849] Heartbeat: 1
[2021-06-25 00:00:59.850] Heartbeat: 0
[2021-06-25 00:01:02.849] Heartbeat: 1
[2021-06-25 00:01:05.850] Heartbeat: 0
[2021-06-25 00:01:08.850] Heartbeat: 1
[2021-06-25 00:01:11.850] Heartbeat: 0
[2021-06-25 00:01:14.850] Heartbeat: 1
[2021-06-25 00:01:17.850] Heartbeat: 0
[2021-06-25 00:01:20.850] Heartbeat: 1
[2021-06-25 00:01:23.850] Heartbeat: 0
[2021-06-25 00:01:26.850] Heartbeat: 1
[2021-06-25 00:01:29.850] Heartbeat: 0
[2021-06-25 00:01:32.851] Heartbeat: 1
[2021-06-25 00:01:35.851] Heartbeat: 0
[2021-06-25 00:01:38.851] Heartbeat: 1
[2021-06-25 00:01:41.850] Heartbeat: 0
[2021-06-25 00:01:44.851] Heartbeat: 1
[2021-06-25 00:01:47.851] Heartbeat: 0
[2021-06-25 00:01:50.851] Heartbeat: 1
[2021-06-25 00:01:53.851] Heartbeat: 0
[2021-06-25 00:01:56.851] Heartbeat: 1
[2021-06-25 00:01:59.851] Heartbeat: 0
[2021-06-25 00:02:02.851] Heartbeat: 1
[2021-06-25 00:02:05.851] Heartbeat: 0
[2021-06-25 00:02:08.852] Heartbeat: 1
[2021-06-25 00:02:11.852] Heartbeat: 0
[2021-06-25 00:02:14.851] Heartbeat: 1
[2021-06-25 00:02:17.851] Heartbeat: 0
[2021-06-25 00:02:20.852] Heartbeat: 1
[2021-06-25 00:02:23.852] Heartbeat: 0
[2021-06-25 00:02:26.851] Heartbeat: 1
[2021-06-25 00:02:29.852] Heartbeat: 0
[2021-06-25 00:02:32.851] Heartbeat: 1
[2021-06-25 00:02:35.852] Heartbeat: 0
[2021-06-25 00:02:38.852] Heartbeat: 1
[2021-06-25 00:02:41.852] Heartbeat: 0
[2021-06-25 00:02:44.852] Heartbeat: 1
[2021-06-25 00:02:47.852] Heartbeat: 0
[2021-06-25 00:02:50.852] Heartbeat: 1
[2021-06-25 00:02:53.852] Heartbeat: 0
[2021-06-25 00:02:56.852] Heartbeat: 1
[2021-06-25 00:02:59.852] Heartbeat: 0
[2021-06-25 00:03:02.853] Heartbeat: 1
[2021-06-25 00:03:05.853] Heartbeat: 0
[2021-06-25 00:03:08.852] Heartbeat: 1
[2021-06-25 00:03:11.853] Heartbeat: 0
[2021-06-25 00:03:14.852] Heartbeat: 1
[2021-06-25 00:03:17.853] Heartbeat: 0
[2021-06-25 00:03:20.853] Heartbeat: 1
[2021-06-25 00:03:23.853] Heartbeat: 0
[2021-06-25 00:03:26.853] Heartbeat: 1
[2021-06-25 00:03:29.853] Heartbeat: 0
[2021-06-25 00:03:32.853] Heartbeat: 1
[2021-06-25 00:03:35.853] Heartbeat: 0
[2021-06-25 00:03:38.853] Heartbeat: 1
[2021-06-25 00:03:41.854] Heartbeat: 0
[2021-06-25 00:03:44.854] Heartbeat: 1
[2021-06-25 00:03:47.854] Heartbeat: 0
[2021-06-25 00:03:50.854] Heartbeat: 1
[2021-06-25 00:03:53.854] Heartbeat: 0
[2021-06-25 00:03:56.854] Heartbeat: 1
[2021-06-25 00:03:59.854] Heartbeat: 0
[2021-06-25 00:04:02.854] Heartbeat: 1
[2021-06-25 00:04:05.854] Heartbeat: 0
[2021-06-25 00:04:08.854] Heartbeat: 1
[2021-06-25 00:04:11.854] Heartbeat: 0
[2021-06-25 00:04:14.855] Heartbeat: 1
[2021-06-25 00:04:17.855] Heartbeat: 0
