#Application: JXR BSC 1.8.1.1
#Release Date: 20210916
#Modbus Model: C2C Model
[2023-06-30 00:00:01.994] Heartbeat: 1
[2023-06-30 00:00:04.994] Heartbeat: 0
[2023-06-30 00:00:07.994] Heartbeat: 1
[2023-06-30 00:00:10.995] Heartbeat: 0
[2023-06-30 00:00:13.994] Heartbeat: 1
[2023-06-30 00:00:16.995] Heartbeat: 0
[2023-06-30 00:00:19.995] Heartbeat: 1
[2023-06-30 00:00:22.995] Heartbeat: 0
[2023-06-30 00:00:25.994] Heartbeat: 1
[2023-06-30 00:00:28.995] Heartbeat: 0
[2023-06-30 00:00:31.995] Heartbeat: 1
[2023-06-30 00:00:34.995] Heartbeat: 0
[2023-06-30 00:00:37.995] Heartbeat: 1
[2023-06-30 00:00:40.996] Heartbeat: 0
[2023-06-30 00:00:43.996] Heartbeat: 1
[2023-06-30 00:00:46.996] Heartbeat: 0
[2023-06-30 00:00:49.996] Heartbeat: 1
[2023-06-30 00:00:52.996] Heartbeat: 0
[2023-06-30 00:00:55.996] Heartbeat: 1
[2023-06-30 00:00:58.996] Heartbeat: 0
[2023-06-30 00:01:01.996] Heartbeat: 1
[2023-06-30 00:01:04.996] Heartbeat: 0
[2023-06-30 00:01:07.996] Heartbeat: 1
[2023-06-30 00:01:10.996] Heartbeat: 0
[2023-06-30 00:01:13.996] Heartbeat: 1
[2023-06-30 00:01:16.997] Heartbeat: 0
[2023-06-30 00:01:19.997] Heartbeat: 1
[2023-06-30 00:01:22.997] Heartbeat: 0
[2023-06-30 00:01:25.997] Heartbeat: 1
[2023-06-30 00:01:28.997] Heartbeat: 0
[2023-06-30 00:01:31.997] Heartbeat: 1
[2023-06-30 00:01:34.997] Heartbeat: 0
[2023-06-30 00:01:37.998] Heartbeat: 1
[2023-06-30 00:01:40.998] Heartbeat: 0
[2023-06-30 00:01:43.997] Heartbeat: 1
[2023-06-30 00:01:46.998] Heartbeat: 0
[2023-06-30 00:01:49.998] Heartbeat: 1
[2023-06-30 00:01:52.998] Heartbeat: 0
[2023-06-30 00:01:55.998] Heartbeat: 1
[2023-06-30 00:01:58.998] Heartbeat: 0
[2023-06-30 00:02:01.997] Heartbeat: 1
[2023-06-30 00:02:04.998] Heartbeat: 0
[2023-06-30 00:02:07.998] Heartbeat: 1
[2023-06-30 00:02:10.999] Heartbeat: 0
[2023-06-30 00:02:13.998] Heartbeat: 1
[2023-06-30 00:02:16.998] Heartbeat: 0
[2023-06-30 00:02:19.999] Heartbeat: 1
[2023-06-30 00:02:22.998] Heartbeat: 0
[2023-06-30 00:02:25.999] Heartbeat: 1
[2023-06-30 00:02:28.998] Heartbeat: 0
[2023-06-30 00:02:31.999] Heartbeat: 1
[2023-06-30 00:02:34.999] Heartbeat: 0
[2023-06-30 00:02:37.999] Heartbeat: 1
[2023-06-30 00:02:40.999] Heartbeat: 0
[2023-06-30 00:02:43.999] Heartbeat: 1
[2023-06-30 00:02:47.000] Heartbeat: 0
[2023-06-30 00:02:49.999] Heartbeat: 1
[2023-06-30 00:02:53.000] Heartbeat: 0
[2023-06-30 00:02:55.999] Heartbeat: 1
[2023-06-30 00:02:59.000] Heartbeat: 0
[2023-06-30 00:03:02.000] Heartbeat: 1
[2023-06-30 00:03:05.000] Heartbeat: 0
[2023-06-30 00:03:08.000] Heartbeat: 1
[2023-06-30 00:03:11.000] Heartbeat: 0
[2023-06-30 00:03:14.000] Heartbeat: 1
[2023-06-30 00:03:17.000] Heartbeat: 0
[2023-06-30 00:03:20.000] Heartbeat: 1
[2023-06-30 00:03:23.000] Heartbeat: 0
[2023-06-30 00:03:26.000] Heartbeat: 1
[2023-06-30 00:03:29.000] Heartbeat: 0
[2023-06-30 00:03:32.001] Heartbeat: 1
[2023-06-30 00:03:35.001] Heartbeat: 0
[2023-06-30 00:03:38.000] Heartbeat: 1
[2023-06-30 00:03:41.001] Heartbeat: 0
[2023-06-30 00:03:44.001] Heartbeat: 1
[2023-06-30 00:03:47.001] Heartbeat: 0
[2023-06-30 00:03:50.002] Heartbeat: 1
[2023-06-30 00:03:53.001] Heartbeat: 0
[2023-06-30 00:03:56.001] Heartbeat: 1
[2023-06-30 00:03:59.001] Heartbeat: 0
[2023-06-30 00:04:02.001] Heartbeat: 1
[2023-06-30 00:04:05.002] Heartbeat: 0
[2023-06-30 00:04:08.002] Heartbeat: 1
[2023-06-30 00:04:11.002] Heartbeat: 0
[2023-06-30 00:04:14.002] Heartbeat: 1
[2023-06-30 00:04:17.002] Heartbeat: 0
[2023-06-30 00:04:20.002] Heartbeat: 1
[2023-06-30 00:04:23.002] Heartbeat: 0
[2023-06-30 00:04:26.002] Heartbeat: 1
[2023-06-30 00:04:29.003] Heartbeat: 0
[2023-06-30 00:04:32.002] Heartbeat: 1
[2023-06-30 00:04:35.003] Heartbeat: 0
[2023-06-30 00:04:38.002] Heartbeat: 1
[2023-06-30 00:04:41.003] Heartbeat: 0
[2023-06-30 00:04:44.002] Heartbeat: 1
[2023-06-30 00:04:47.003] Heartbeat: 0
[2023-06-30 00:04:50.003] Heartbeat: 1
[2023-06-30 00:04:53.003] Heartbeat: 0
[2023-06-30 00:04:56.003] Heartbeat: 1
[2023-06-30 00:04:59.003] Heartbeat: 0
[2023-06-30 00:05:02.003] Heartbeat: 1
[2023-06-30 00:05:05.003] Heartbeat: 0
[2023-06-30 00:05:08.004] Heartbeat: 1
[2023-06-30 00:05:11.002] Heartbeat: 0
[2023-06-30 00:05:14.003] Heartbeat: 1
[2023-06-30 00:05:17.003] Heartbeat: 0
