#Application: JXR BSC 1.7.6.4
#Release Date: 20200813
#Modbus Model: C2C Model
[2021-06-29 00:00:02.614] Heartbeat: 1
[2021-06-29 00:00:05.615] Heartbeat: 0
[2021-06-29 00:00:08.614] Heartbeat: 1
[2021-06-29 00:00:11.614] Heartbeat: 0
[2021-06-29 00:00:14.615] Heartbeat: 1
[2021-06-29 00:00:17.615] Heartbeat: 0
[2021-06-29 00:00:20.615] Heartbeat: 1
[2021-06-29 00:00:23.615] Heartbeat: 0
[2021-06-29 00:00:26.614] Heartbeat: 1
[2021-06-29 00:00:29.615] Heartbeat: 0
[2021-06-29 00:00:32.615] Heartbeat: 1
[2021-06-29 00:00:35.615] Heartbeat: 0
[2021-06-29 00:00:38.616] Heartbeat: 1
[2021-06-29 00:00:41.615] Heartbeat: 0
[2021-06-29 00:00:44.616] Heartbeat: 1
[2021-06-29 00:00:47.615] Heartbeat: 0
[2021-06-29 00:00:50.615] Heartbeat: 1
[2021-06-29 00:00:53.616] Heartbeat: 0
[2021-06-29 00:00:56.616] Heartbeat: 1
[2021-06-29 00:00:59.616] Heartbeat: 0
[2021-06-29 00:01:02.615] Heartbeat: 1
[2021-06-29 00:01:05.616] Heartbeat: 0
[2021-06-29 00:01:08.616] Heartbeat: 1
[2021-06-29 00:01:11.616] Heartbeat: 0
[2021-06-29 00:01:14.616] Heartbeat: 1
[2021-06-29 00:01:17.617] Heartbeat: 0
[2021-06-29 00:01:20.616] Heartbeat: 1
[2021-06-29 00:01:23.617] Heartbeat: 0
[2021-06-29 00:01:26.616] Heartbeat: 1
[2021-06-29 00:01:29.617] Heartbeat: 0
[2021-06-29 00:01:32.617] Heartbeat: 1
[2021-06-29 00:01:35.617] Heartbeat: 0
[2021-06-29 00:01:38.617] Heartbeat: 1
[2021-06-29 00:01:41.617] Heartbeat: 0
[2021-06-29 00:01:44.617] Heartbeat: 1
[2021-06-29 00:01:47.617] Heartbeat: 0
[2021-06-29 00:01:50.617] Heartbeat: 1
[2021-06-29 00:01:53.617] Heartbeat: 0
[2021-06-29 00:01:56.617] Heartbeat: 1
[2021-06-29 00:01:59.618] Heartbeat: 0
[2021-06-29 00:02:02.617] Heartbeat: 1
[2021-06-29 00:02:05.617] Heartbeat: 0
[2021-06-29 00:02:08.618] Heartbeat: 1
[2021-06-29 00:02:11.618] Heartbeat: 0
[2021-06-29 00:02:14.618] Heartbeat: 1
[2021-06-29 00:02:17.617] Heartbeat: 0
[2021-06-29 00:02:20.618] Heartbeat: 1
[2021-06-29 00:02:23.618] Heartbeat: 0
[2021-06-29 00:02:26.618] Heartbeat: 1
[2021-06-29 00:02:29.618] Heartbeat: 0
[2021-06-29 00:02:32.618] Heartbeat: 1
[2021-06-29 00:02:35.619] Heartbeat: 0
[2021-06-29 00:02:38.618] Heartbeat: 1
[2021-06-29 00:02:41.619] Heartbeat: 0
[2021-06-29 00:02:44.619] Heartbeat: 1
[2021-06-29 00:02:47.618] Heartbeat: 0
[2021-06-29 00:02:50.619] Heartbeat: 1
[2021-06-29 00:02:53.619] Heartbeat: 0
[2021-06-29 00:02:56.619] Heartbeat: 1
[2021-06-29 00:02:59.618] Heartbeat: 0
[2021-06-29 00:03:02.619] Heartbeat: 1
[2021-06-29 00:03:05.619] Heartbeat: 0
[2021-06-29 00:03:08.620] Heartbeat: 1
[2021-06-29 00:03:11.619] Heartbeat: 0
[2021-06-29 00:03:14.619] Heartbeat: 1
[2021-06-29 00:03:17.619] Heartbeat: 0
[2021-06-29 00:03:20.619] Heartbeat: 1
[2021-06-29 00:03:23.619] Heartbeat: 0
[2021-06-29 00:03:26.619] Heartbeat: 1
[2021-06-29 00:03:29.619] Heartbeat: 0
[2021-06-29 00:03:32.621] Heartbeat: 1
[2021-06-29 00:03:35.620] Heartbeat: 0
[2021-06-29 00:03:38.620] Heartbeat: 1
[2021-06-29 00:03:41.620] Heartbeat: 0
[2021-06-29 00:03:44.620] Heartbeat: 1
[2021-06-29 00:03:47.620] Heartbeat: 0
[2021-06-29 00:03:50.620] Heartbeat: 1
[2021-06-29 00:03:53.620] Heartbeat: 0
[2021-06-29 00:03:56.620] Heartbeat: 1
[2021-06-29 00:03:59.620] Heartbeat: 0
[2021-06-29 00:04:02.620] Heartbeat: 1
[2021-06-29 00:04:05.621] Heartbeat: 0
[2021-06-29 00:04:08.620] Heartbeat: 1
[2021-06-29 00:04:11.620] Heartbeat: 0
[2021-06-29 00:04:14.621] Heartbeat: 1
[2021-06-29 00:04:17.621] Heartbeat: 0
[2021-06-29 00:04:20.621] Heartbeat: 1
[2021-06-29 00:04:23.621] Heartbeat: 0
[2021-06-29 00:04:26.621] Heartbeat: 1
[2021-06-29 00:04:29.621] Heartbeat: 0
[2021-06-29 00:04:32.622] Heartbeat: 1
[2021-06-29 00:04:35.621] Heartbeat: 0
[2021-06-29 00:04:38.621] Heartbeat: 1
[2021-06-29 00:04:41.622] Heartbeat: 0
[2021-06-29 00:04:44.621] Heartbeat: 1
[2021-06-29 00:04:47.621] Heartbeat: 0
[2021-06-29 00:04:50.622] Heartbeat: 1
[2021-06-29 00:04:53.621] Heartbeat: 0
[2021-06-29 00:04:56.622] Heartbeat: 1
[2021-06-29 00:04:59.622] Heartbeat: 0
[2021-06-29 00:05:02.622] Heartbeat: 1
[2021-06-29 00:05:05.622] Heartbeat: 0
[2021-06-29 00:05:08.622] Heartbeat: 1
[2021-06-29 00:05:11.623] Heartbeat: 0
[2021-06-29 00:05:14.622] Heartbeat: 1
[2021-06-29 00:05:17.622] Heartbeat: 0
[2021-06-29 00:05:20.623] Heartbeat: 1
[2021-06-29 00:05:23.623] Heartbeat: 0
[2021-06-29 00:05:26.622] Heartbeat: 1
[2021-06-29 00:05:29.623] Heartbeat: 0
[2021-06-29 00:05:32.623] Heartbeat: 1
[2021-06-29 00:05:35.623] Heartbeat: 0
[2021-06-29 00:05:38.622] Heartbeat: 1
[2021-06-29 00:05:41.623] Heartbeat: 0
[2021-06-29 00:05:44.623] Heartbeat: 1
[2021-06-29 00:05:47.624] Heartbeat: 0
[2021-06-29 00:05:50.623] Heartbeat: 1
[2021-06-29 00:05:53.623] Heartbeat: 0
[2021-06-29 00:05:56.624] Heartbeat: 1
[2021-06-29 00:05:59.624] Heartbeat: 0
