#Application: JXR BSC 1.7.6.4
#Release Date: 20200813
#Modbus Model: C2C Model
[2021-06-03 16:15:20.081] Heartbeat: 0
[2021-06-03 16:15:22.017] Heartbeat: 1
[2021-06-03 16:15:25.017] Heartbeat: 0
[2021-06-03 16:15:28.018] Heartbeat: 1
[2021-06-03 16:15:31.017] Heartbeat: 0
[2021-06-03 16:15:34.018] Heartbeat: 1
[2021-06-03 16:15:37.018] Heartbeat: 0
[2021-06-03 16:15:40.017] Heartbeat: 1
[2021-06-03 16:15:43.018] Heartbeat: 0
[2021-06-03 16:15:46.018] Heartbeat: 1
[2021-06-03 16:15:49.018] Heartbeat: 0
[2021-06-03 16:15:52.018] Heartbeat: 1
[2021-06-03 16:15:55.017] Heartbeat: 0
[2021-06-03 16:15:58.018] Heartbeat: 1
[2021-06-03 16:16:01.018] Heartbeat: 0
[2021-06-03 16:16:04.018] Heartbeat: 1
[2021-06-03 16:16:07.018] Heartbeat: 0
[2021-06-03 16:16:10.019] Heartbeat: 1
[2021-06-03 16:16:13.019] Heartbeat: 0
[2021-06-03 16:16:16.018] Heartbeat: 1
[2021-06-03 16:16:19.019] Heartbeat: 0
[2021-06-03 16:16:22.019] Heartbeat: 1
[2021-06-03 16:16:25.019] Heartbeat: 0
[2021-06-03 16:16:28.020] Heartbeat: 1
[2021-06-03 16:16:31.020] Heartbeat: 0
[2021-06-03 16:16:34.019] Heartbeat: 1
[2021-06-03 16:16:37.019] Heartbeat: 0
[2021-06-03 16:16:40.019] Heartbeat: 1
[2021-06-03 16:16:43.020] Heartbeat: 0
[2021-06-03 16:16:46.020] Heartbeat: 1
[2021-06-03 16:16:49.020] Heartbeat: 0
[2021-06-03 16:16:52.020] Heartbeat: 1
[2021-06-03 16:16:55.021] Heartbeat: 0
[2021-06-03 16:16:58.020] Heartbeat: 1
[2021-06-03 16:17:01.021] Heartbeat: 0
[2021-06-03 16:17:04.021] Heartbeat: 1
[2021-06-03 16:17:07.021] Heartbeat: 0
[2021-06-03 16:17:10.021] Heartbeat: 1
[2021-06-03 16:17:13.021] Heartbeat: 0
[2021-06-03 16:17:16.021] Heartbeat: 1
[2021-06-03 16:17:19.021] Heartbeat: 0
[2021-06-03 16:17:22.021] Heartbeat: 1
[2021-06-03 16:17:25.021] Heartbeat: 0
[2021-06-03 16:17:28.021] Heartbeat: 1
[2021-06-03 16:17:31.022] Heartbeat: 0
[2021-06-03 16:17:34.021] Heartbeat: 1
[2021-06-03 16:17:37.021] Heartbeat: 0
[2021-06-03 16:17:40.022] Heartbeat: 1
[2021-06-03 16:17:43.022] Heartbeat: 0
[2021-06-03 16:17:46.022] Heartbeat: 1
[2021-06-03 16:17:49.022] Heartbeat: 0
[2021-06-03 16:17:52.022] Heartbeat: 1
[2021-06-03 16:17:55.022] Heartbeat: 0
[2021-06-03 16:17:58.022] Heartbeat: 1
[2021-06-03 16:18:01.022] Heartbeat: 0
[2021-06-03 16:18:04.022] Heartbeat: 1
[2021-06-03 16:18:07.023] Heartbeat: 0
[2021-06-03 16:18:10.022] Heartbeat: 1
[2021-06-03 16:18:13.023] Heartbeat: 0
[2021-06-03 16:18:16.023] Heartbeat: 1
[2021-06-03 16:18:19.023] Heartbeat: 0
[2021-06-03 16:18:22.023] Heartbeat: 1
[2021-06-03 16:18:25.023] Heartbeat: 0
[2021-06-03 16:18:28.023] Heartbeat: 1
[2021-06-03 16:18:31.023] Heartbeat: 0
[2021-06-03 16:18:34.023] Heartbeat: 1
[2021-06-03 16:18:37.024] Heartbeat: 0
[2021-06-03 16:18:40.023] Heartbeat: 1
[2021-06-03 16:18:43.023] Heartbeat: 0
[2021-06-03 16:18:46.024] Heartbeat: 1
[2021-06-03 16:18:49.023] Heartbeat: 0
[2021-06-03 16:18:52.024] Heartbeat: 1
[2021-06-03 16:18:55.025] Heartbeat: 0
[2021-06-03 16:18:58.024] Heartbeat: 1
[2021-06-03 16:19:01.024] Heartbeat: 0
[2021-06-03 16:19:04.025] Heartbeat: 1
[2021-06-03 16:19:07.025] Heartbeat: 0
[2021-06-03 16:19:10.024] Heartbeat: 1
[2021-06-03 16:19:13.025] Heartbeat: 0
[2021-06-03 16:19:16.025] Heartbeat: 1
[2021-06-03 16:19:19.025] Heartbeat: 0
[2021-06-03 16:19:22.025] Heartbeat: 1
[2021-06-03 16:19:25.025] Heartbeat: 0
[2021-06-03 16:19:28.026] Heartbeat: 1
[2021-06-03 16:19:31.025] Heartbeat: 0
[2021-06-03 16:19:34.026] Heartbeat: 1
[2021-06-03 16:19:37.026] Heartbeat: 0
[2021-06-03 16:19:40.026] Heartbeat: 1
[2021-06-03 16:19:43.025] Heartbeat: 0
[2021-06-03 16:19:46.026] Heartbeat: 1
[2021-06-03 16:19:49.026] Heartbeat: 0
[2021-06-03 16:19:52.026] Heartbeat: 1
[2021-06-03 16:19:55.026] Heartbeat: 0
[2021-06-03 16:19:58.026] Heartbeat: 1
[2021-06-03 16:20:01.027] Heartbeat: 0
[2021-06-03 16:20:04.026] Heartbeat: 1
[2021-06-03 16:20:07.026] Heartbeat: 0
[2021-06-03 16:20:10.027] Heartbeat: 1
[2021-06-03 16:20:13.027] Heartbeat: 0
[2021-06-03 16:20:16.026] Heartbeat: 1
[2021-06-03 16:20:19.027] Heartbeat: 0
[2021-06-03 16:20:22.027] Heartbeat: 1
[2021-06-03 16:20:25.027] Heartbeat: 0
[2021-06-03 16:20:28.027] Heartbeat: 1
[2021-06-03 16:20:31.027] Heartbeat: 0
[2021-06-03 16:20:34.027] Heartbeat: 1
[2021-06-03 16:20:37.027] Heartbeat: 0
[2021-06-03 16:20:40.027] Heartbeat: 1
[2021-06-03 16:20:43.027] Heartbeat: 0
[2021-06-03 16:20:46.028] Heartbeat: 1
[2021-06-03 16:20:49.027] Heartbeat: 0
[2021-06-03 16:20:52.028] Heartbeat: 1
[2021-06-03 16:20:55.028] Heartbeat: 0
[2021-06-03 16:20:58.028] Heartbeat: 1
[2021-06-03 16:21:01.028] Heartbeat: 0
[2021-06-03 16:21:04.027] Heartbeat: 1
[2021-06-03 16:21:07.028] Heartbeat: 0
[2021-06-03 16:21:10.028] Heartbeat: 1
[2021-06-03 16:21:13.028] Heartbeat: 0
[2021-06-03 16:21:16.028] Heartbeat: 1
[2021-06-03 16:21:19.028] Heartbeat: 0
[2021-06-03 16:21:22.028] Heartbeat: 1
[2021-06-03 16:21:25.029] Heartbeat: 0
[2021-06-03 16:21:28.028] Heartbeat: 1
[2021-06-03 16:21:31.029] Heartbeat: 0
[2021-06-03 16:21:34.028] Heartbeat: 1
[2021-06-03 16:21:37.029] Heartbeat: 0
[2021-06-03 16:21:40.028] Heartbeat: 1
[2021-06-03 16:21:43.029] Heartbeat: 0
[2021-06-03 16:21:46.029] Heartbeat: 1
[2021-06-03 16:21:49.028] Heartbeat: 0
[2021-06-03 16:21:52.029] Heartbeat: 1
[2021-06-03 16:21:55.029] Heartbeat: 0
[2021-06-03 16:21:58.029] Heartbeat: 1
[2021-06-03 16:22:01.029] Heartbeat: 0
[2021-06-03 16:22:04.029] Heartbeat: 1
[2021-06-03 16:22:07.029] Heartbeat: 0
[2021-06-03 16:22:10.030] Heartbeat: 1
[2021-06-03 16:22:13.029] Heartbeat: 0
[2021-06-03 16:22:16.030] Heartbeat: 1
[2021-06-03 16:22:19.030] Heartbeat: 0
[2021-06-03 16:22:22.029] Heartbeat: 1
[2021-06-03 16:22:25.030] Heartbeat: 0
[2021-06-03 16:22:28.030] Heartbeat: 1
[2021-06-03 16:22:31.030] Heartbeat: 0
[2021-06-03 16:22:34.030] Heartbeat: 1
[2021-06-03 16:22:37.031] Heartbeat: 0
[2021-06-03 16:22:40.030] Heartbeat: 1
[2021-06-03 16:22:43.030] Heartbeat: 0
[2021-06-03 16:22:46.031] Heartbeat: 1
[2021-06-03 16:22:49.031] Heartbeat: 0
[2021-06-03 16:22:52.030] Heartbeat: 1
[2021-06-03 16:22:55.030] Heartbeat: 0
[2021-06-03 16:22:58.031] Heartbeat: 1
[2021-06-03 16:23:01.031] Heartbeat: 0
[2021-06-03 16:23:04.031] Heartbeat: 1
[2021-06-03 16:23:07.031] Heartbeat: 0
[2021-06-03 16:23:10.031] Heartbeat: 1
[2021-06-03 16:23:13.032] Heartbeat: 0
[2021-06-03 16:23:16.031] Heartbeat: 1
[2021-06-03 16:23:19.031] Heartbeat: 0
[2021-06-03 16:23:22.031] Heartbeat: 1
[2021-06-03 16:23:25.032] Heartbeat: 0
[2021-06-03 16:23:28.031] Heartbeat: 1
[2021-06-03 16:23:31.032] Heartbeat: 0
[2021-06-03 16:23:34.032] Heartbeat: 1
[2021-06-03 16:23:37.032] Heartbeat: 0
[2021-06-03 16:23:40.032] Heartbeat: 1
[2021-06-03 16:23:43.032] Heartbeat: 0
[2021-06-03 16:23:46.032] Heartbeat: 1
[2021-06-03 16:23:49.033] Heartbeat: 0
[2021-06-03 16:23:52.032] Heartbeat: 1
[2021-06-03 16:23:55.032] Heartbeat: 0
[2021-06-03 16:23:58.032] Heartbeat: 1
[2021-06-03 16:24:01.032] Heartbeat: 0
[2021-06-03 16:24:04.033] Heartbeat: 1
[2021-06-03 16:24:07.032] Heartbeat: 0
[2021-06-03 16:24:10.034] Heartbeat: 1
[2021-06-03 16:24:13.034] Heartbeat: 0
[2021-06-03 16:24:16.034] Heartbeat: 1
[2021-06-03 16:24:19.034] Heartbeat: 0
[2021-06-03 16:24:22.034] Heartbeat: 1
[2021-06-03 16:24:25.034] Heartbeat: 0
[2021-06-03 16:24:28.034] Heartbeat: 1
[2021-06-03 16:24:31.034] Heartbeat: 0
[2021-06-03 16:24:34.035] Heartbeat: 1
[2021-06-03 16:24:37.034] Heartbeat: 0
[2021-06-03 16:24:40.034] Heartbeat: 1
[2021-06-03 16:24:43.035] Heartbeat: 0
[2021-06-03 16:24:46.034] Heartbeat: 1
[2021-06-03 16:24:49.034] Heartbeat: 0
[2021-06-03 16:24:52.035] Heartbeat: 1
[2021-06-03 16:24:55.034] Heartbeat: 0
[2021-06-03 16:24:58.035] Heartbeat: 1
[2021-06-03 16:25:01.035] Heartbeat: 0
